Time,C_para__Basolateral___HepG2_,C_para_Apical,C_glu__Basolateral___HepG2_,C_glu_Apical,C_sulf__Basolateral___HepG2_,C_sulf_Apical,C_para_Caco_2,C_sulf_Caco_2,C_glu_Caco_2,P_para,Ai,Mp_s_caco,Mp_g_caco,V_api,V_caco,Mp_s_HepG2,V_basol,P_sulf,P_glu,Mp_g_HepG2,time_threshold,Apical,Caco_2,Basolateral___HepG2
14.200000000000001,74.63333496759648,1358.6188886046505,669.4952724317894,170.75552322859417,433.1841512241015,115.61233150001874,619.7436088543976,366.8050780331066,512.5440399229906,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.3,74.28721897687181,1352.3062424547416,672.7945581720033,172.41731100826547,435.3968765312031,116.64676100988308,616.8643363628618,367.9994582540459,514.5953816114207,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.4,73.9426511391426,1346.022929396753,676.0648642804576,174.0809590853355,437.5915580897639,117.68183385428227,613.9984169310444,369.1871282146691,516.6351531751668,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.5,73.59962860037358,1339.7688129696899,679.3064032879919,175.74640249312588,439.7683169913696,118.71751988929586,611.1457903263776,370.3681244109062,518.6634194198668,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.600000000000001,73.25814630723885,1333.5437574318205,682.5193876102828,177.4135768728863,441.92727436819627,119.75378923601892,608.3063956725761,371.5424833979142,520.6802453057479,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.700000000000001,72.91821919070512,1327.3476267679061,685.7040164956799,179.08241850326795,444.0685436127228,120.79061229495876,605.4801806498451,372.7102392545316,522.685690765534,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.8,72.57983568656766,1321.1802868043515,688.8605032603948,180.75286429567683,446.1922466266263,121.82795973875332,602.6670822335979,373.8714288832458,524.6798215368988,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.9,72.24298859954176,1315.0416037954235,691.9890572331935,182.42485178206243,448.2985030448365,122.86580251092172,599.867039480667,375.02608849414315,526.6627019760064,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.0,71.90767038650239,1308.9314446419169,695.0898865062499,184.09831912109718,450.3874318784273,123.90411182777108,597.0799915763968,376.17425414130605,528.6343961538842,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.100000000000001,71.57387195395646,1302.8496769456074,698.1631986406544,185.77320509760924,452.4591519354198,124.94285917803006,594.3058773361944,377.31596186003276,530.5949681368791,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.200000000000001,71.24158265804279,1296.7961690092516,701.2092006664142,187.44944912258217,454.5137818207817,125.98201632284899,591.5446352055292,378.4512476668368,532.5444819866565,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.3,70.91083015831343,1290.7707876956126,704.2280767811152,189.12699069946805,456.55142649574293,127.02155508715252,588.7962196339912,379.58014313242285,534.4829927077518,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.4,70.58160098333838,1284.7734026947342,707.2200327997391,190.8057704879037,458.5722040670394,128.06144777550415,586.0605684394067,380.702684205392,536.4105642904212,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.5,70.2538782421271,1278.803884498056,710.1852750521449,192.48572979871204,460.5762330687389,129.10166697467477,583.3376183017004,381.8189070231939,538.3272611448111,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.600000000000001,69.92765339704354,1272.8621037659632,713.1240037951934,194.16681043624968,462.5636284918262,130.14218549200777,580.627309599837,382.9288466043717,540.2331454268401,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.700000000000001,69.60291702611624,1266.9479318240426,716.0364183819639,195.8489548221097,464.5345048996136,131.18297640378125,577.9295826164852,384.03253787470004,542.1282791364621,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.8,69.27965882303823,1261.061240663082,718.9227172617551,197.53210599512198,466.48897642774085,132.22401305520805,575.2443775380179,385.1300156671854,544.0127241176665,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
15.9,68.95789309470523,1255.2019012043638,721.7830848760483,199.2162066761367,468.427148731466,133.26526868869587,572.5716447724861,386.22131202028993,545.8865365284838,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
16.0,68.63761974460715,1249.3697859541323,724.6177117104451,200.90120069910256,470.3491313080078,134.3067170126878,569.9113291609434,387.30646031221823,547.7497753030428,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
