Time,The_FOD_in_the_circulation__X1,The_FOD_in_the_metabolizing_tissues__X4,The_cumulative_FOD_excreted_in_the_non_urinary_pool__X3,The_FOD_in_the_gallbladder___intestinal_lumen__X5,The_cumulative_FOD_excreted_in_the_urine__X2,K1,K2,K3,K4,K5,compartment,R1,R2,R3,R4
2.535,-1.843346672546904e-17,0.0012689203275447402,0.1409278688430699,0.003058999575653126,0.854744211785378,3.6,1.2,26.6,1.2,1.2,1.0,-4.903302148974765e-16,-0.002148095097730063,0.003670799490783751,0.004568113179161065
2.5380000000000003,-1.8132236403259206e-17,0.001261681088796722,0.14093884987453556,0.0030415925802752784,0.8547578769880382,3.6,1.2,26.6,1.2,1.2,1.0,-4.823174883266949e-16,-0.0021358937897742675,0.003649911096330334,0.004542051919668199
2.541,-1.739346610145018e-17,0.0012544833072733583,0.14094976842101706,0.003024284569313457,0.8547714642340418,3.6,1.2,26.6,1.2,1.2,1.0,-4.626661982985748e-16,-0.0021237615144481183,0.003629141483176148,0.00451613990618409
2.544,-1.6480610902041164e-17,0.0012473267456273728,0.1409606248356035,0.0030070749841986564,0.8547849739662161,3.6,1.2,26.6,1.2,1.2,1.0,-4.3838424999429497e-16,-0.0021116978862855402,0.0036084899810383876,0.004490376284258542
2.547,-1.6061230945018506e-17,0.001240211171972108,0.1409714194658615,0.0029899632746610005,0.8547984066191511,3.6,1.2,26.6,1.2,1.2,1.0,-4.2722874313749227e-16,-0.002099702523226671,0.0035879559295932005,0.004464760219099589
2.5500000000000003,-1.546156668493557e-17,0.001233136342260672,0.14098215266915395,0.0029729488763270877,0.854811762643904,3.6,1.2,26.6,1.2,1.2,1.0,-4.112776738192862e-16,-0.002087775040879699,0.003567538651592505,0.004439290832138419
2.553,-1.4696448131244018e-17,0.0012261020207519717,0.14099282479485536,0.0029560312367267875,0.8548250424793116,3.6,1.2,26.6,1.2,1.2,1.0,-3.909255202910909e-16,-0.0020759150591697787,0.0035472374840721447,0.004413967274707099
2.556,-1.37842546293628e-17,0.0012191079730873857,0.14100343619037278,0.0029392098064874254,0.854838246561698,3.6,1.2,26.6,1.2,1.2,1.0,-3.666611731410505e-16,-0.002064122200080047,0.00352705176778491,0.0043887887031145885
2.559,-1.2747075129439578e-17,0.001212153966279988,0.14101398720115865,0.002922484039314014,0.8548513753248931,3.6,1.2,26.6,1.2,1.2,1.0,-3.390721984430928e-16,-0.002052396087640831,0.003506980847176817,0.004363754278607957
2.562,-1.1610868455111204e-17,0.001205239768703764,0.14102447817072358,0.002905853391969465,0.8548644292002489,3.6,1.2,26.6,1.2,1.2,1.0,-3.0884910090595803e-16,-0.0020407363479188413,0.003487024070363358,0.00433886316733355
2.565,-1.0405623572263893e-17,0.001198365150082825,0.14103490944064923,0.0028893173242547977,0.8548774086166588,3.6,1.2,26.6,1.2,1.2,1.0,-2.7678958702221957e-16,-0.0020291426090063673,0.003467180789105757,0.00431411454029817
2.568,-9.165519857794946e-18,0.0011915298814806322,0.1410452813506012,0.0028728752989893723,0.8548903140005745,3.6,1.2,26.6,1.2,1.2,1.0,-2.438028282173456e-16,-0.0020176145010104883,0.0034474503587872468,0.004289507573330276
2.571,-7.929087368372861e-18,0.0011847337352892111,0.14105559423834185,0.0028565267819910993,0.8549031457760236,3.6,1.2,26.6,1.2,1.2,1.0,-2.1091372399871814e-16,-0.002006151656042266,0.003427832138389319,0.00426504144704116
2.574,-6.7393671091983756e-18,0.0011779764852183712,0.1410658484397431,0.002840271242056659,0.8549159043646276,3.6,1.2,26.6,1.2,1.2,1.0,-1.792671651046768e-16,-0.0019947537082059454,0.0034083254904679907,0.004240715346786136
2.577,-5.644071302764527e-18,0.00117125790628492,0.14107604428879927,0.0028241081509417123,0.8549285901856198,3.6,1.2,26.6,1.2,1.2,1.0,-1.5013229665353641e-16,-0.001983420293588151,0.003388929781130055,0.004216528462625712
2.58,-4.695743657618452e-18,0.0011645777748018871,0.14108618211764004,0.0028080369833411306,0.8549412036558627,3.6,1.2,26.6,1.2,1.2,1.0,-1.2490678129265083e-16,-0.001972151050247092,0.0033696443800093566,0.004192479989286794
2.583,-3.951919637121409e-18,0.0011579358683677392,0.14109626225654315,0.0027920572168692055,0.8549537451898656,3.6,1.2,26.6,1.2,1.2,1.0,-1.0512106234742948e-16,-0.0019609456182017593,0.0033504686602430465,0.004168569126123861
2.586,-3.475286728209747e-18,0.0011513319658555984,0.14110628503394737,0.0027761683320398707,0.8549662151998029,3.6,1.2,26.6,1.2,1.2,1.0,-9.244262697037927e-17,-0.0019498036394211267,0.0033314019984478447,0.0041447950770801545
2.589,-2.1049259686128222e-18,0.0011447658568937945,0.14111625076816814,0.0027603698243939745,0.8549786140821898,3.6,1.2,26.6,1.2,1.2,1.0,-5.599103076510108e-17,-0.0019387247610002157,0.003312443789272769,0.00412115708481766
2.592,-5.605752835248999e-19,0.0011382373178810959,0.14112615978836796,0.002744661173797466,0.8549909422515992,3.6,1.2,26.6,1.2,1.2,1.0,-1.4911302541762338e-17,-0.0019277086270996437,0.0032935934085569587,0.004097654344371945
2.595,9.674657473820524e-19,0.001131746130591108,0.14113601241829626,0.0027290418682454167,0.8550032001145129,3.6,1.2,26.6,1.2,1.2,1.0,2.5734588880362596e-17,-0.0019167548851851703,0.0032748502418945,0.004074286070127988
2.598,2.4578188706584778e-18,0.0011252920793783409,0.14114580897873527,0.002713511400280351,0.8550153880732517,3.6,1.2,26.6,1.2,1.2,1.0,6.537798195951551e-17,-0.0019058631850824123,0.0032562136803364213,0.004051051485762027
2.601,3.887785094399738e-18,0.0011188749498538262,0.14115554978866107,0.0026980692652913032,0.8550275065278395,3.6,1.2,26.6,1.2,1.2,1.0,1.0341508351103304e-16,-0.0018950331785249725,0.003237683118349564,0.004027949819473775
2.604,5.233330631175672e-18,0.0011124945288754707,0.1411652351652556,0.002682714961495497,0.8550395558760192,3.6,1.2,26.6,1.2,1.2,1.0,1.392065947892729e-16,-0.0018842645191440317,0.0032192579537945964,0.0040049803039516945
2.607,6.4690728409623025e-18,0.0011061506045383991,0.14117486542391833,0.0026674479899199974,0.855051536513269,3.6,1.2,26.6,1.2,1.2,1.0,1.7207733756959727e-16,-0.001873556862457918,0.003200937587903997,0.003982142176338237
2.61,7.568266174072317e-18,0.0010998429661653048,0.14118444087827825,0.00265226785438338,0.8550634488328188,3.6,1.2,26.6,1.2,1.2,1.0,2.0131588023032363e-16,-0.0018629098658616901,0.003182721425260056,0.003959434678195098
2.613,8.502788114086507e-18,0.0010935714042967916,0.14119396184020575,0.002637174061477382,0.8550752932256658,3.6,1.2,26.6,1.2,1.2,1.0,2.261741638347011e-16,-0.0018523231886167087,0.0031646088737728585,0.0039368570554684495
2.616,9.243125120783635e-18,0.0010873357106817275,0.14120342861982435,0.002622166120548583,0.855087070080591,3.6,1.2,26.6,1.2,1.2,1.0,2.458671282128447e-16,-0.0018417964918402262,0.0031465993446582992,0.003914408558454219
2.619,9.758358573071954e-18,0.0010811356782675881,0.1412128415255227,0.0026072435436800536,0.8550987797841754,3.6,1.2,26.6,1.2,1.2,1.0,2.59572338043714e-16,-0.0018313294384949587,0.0031286922524160644,0.0038920884417633175
2.622,1.0016150711919841e-17,0.0010749711011908063,0.14122220086396625,0.0025924058456730276,0.8551104227208156,3.6,1.2,26.6,1.2,1.2,1.0,2.664296089370678e-16,-0.0018209216933786655,0.003110887014807633,0.0038698959642869024
2.625,9.982730583286751e-18,0.0010688417747671145,0.14123150694010933,0.002577652544028553,0.8551219992727407,3.6,1.2,26.6,1.2,1.2,1.0,2.655406335154276e-16,-0.001810572923113726,0.0030931830528342632,0.0038478303891616122
2.628,9.622879981053816e-18,0.0010627474954818994,0.14124076005720687,0.0025629831589291685,0.8551335098200278,3.6,1.2,26.6,1.2,1.2,1.0,2.559686074960315e-16,-0.0018002827961367226,0.003075579790715002,0.0038258909837348377
2.6310000000000002,9.349550126677134e-18,0.001056688065197743,0.14124996051302627,0.0025483972188162477,0.8551449547346054,3.6,1.2,26.6,1.2,1.2,1.0,2.486980333696118e-16,-0.0017900509843422057,0.003058076662579497,0.0038040770347118743
2.634,9.436356689209854e-18,0.0010506632856345467,0.1412591086048244,0.0025338942530602933,0.8551563343881264,3.6,1.2,26.6,1.2,1.2,1.0,2.5100708793298213e-16,-0.0017798771609108957,0.0030406731036723518,0.003782387828284368
2.637,9.413059973452938e-18,0.0010446729526900685,0.14126820463446838,0.0025194737844194785,0.8551676491600677,3.6,1.2,26.6,1.2,1.2,1.0,2.5038739529384816e-16,-0.0017697609980752921,0.0030233685413033743,0.0037608226296842466
2.64,9.28417771107784e-18,0.001038716867860077,0.14127724889814824,0.0025051353441872207,0.8551788994214501,3.6,1.2,26.6,1.2,1.2,1.0,2.4695912711467057e-16,-0.0017597021715925725,0.003006162413024665,0.0037393807242962775
2.6430000000000002,9.056096619283567e-18,0.0010327948337934903,0.14128624169038537,0.00249087846628888,0.8551900855411779,3.6,1.2,26.6,1.2,1.2,1.0,2.4089217007294287e-16,-0.0017497003589944677,0.002989054159546656,0.003718061401656565
2.646,8.737166631545878e-18,0.0010269066542837402,0.1412951833040434,0.0024767026872647736,0.8552012078860537,3.6,1.2,26.6,1.2,1.2,1.0,2.324086323991204e-16,-0.00173975523957724,0.002972043224717728,0.003696863955421465
2.649,8.33779512836625e-18,0.0010210521342601318,0.14130407403033912,0.002462607546253177,0.8552122668207932,3.6,1.2,26.6,1.2,1.2,1.0,2.2178535041454226e-16,-0.0017298664943916542,0.0029551290555038124,0.0036757876833364744
2.652,7.870541168021324e-18,0.0010152310797792114,0.14131291415885344,0.00244859258497335,0.8552232627080397,3.6,1.2,26.6,1.2,1.2,1.0,2.0935639506936722e-16,-0.0017200338062329662,0.00293831110196802,0.0036548318872051608
2.6550000000000002,7.350209717311883e-18,0.0010094432980161262,0.14132170397754235,0.0024346573477085354,0.8552341959083787,3.6,1.2,26.6,1.2,1.2,1.0,1.955155784804961e-16,-0.001710256859630891,0.0029215888172502424,0.003633995872858054
2.658,6.793945882312154e-18,0.0010036885972559892,0.1413304437727478,0.0024208013812889767,0.8552450667803528,3.6,1.2,26.6,1.2,1.2,1.0,1.807189604695033e-16,-0.001700535340839585,0.002904961657546772,0.0036132789501215614
2.661,6.221329139118621e-18,0.000997966786885238,0.14133913382920882,0.0024070242350749177,0.8552558756804767,3.6,1.2,26.6,1.2,1.2,1.0,1.6548735510055532e-16,-0.0016908689378276154,0.002888429082089901,0.003592680432786857
2.664,5.654467564599699e-18,0.0009922776773830038,0.14134777443007215,0.0023933254609396276,0.8552666229632508,3.6,1.2,26.6,1.2,1.2,1.0,1.50408837218352e-16,-0.0016812573402679484,0.002871990553127553,0.003572199638578814
2.6670000000000003,5.118092067144561e-18,0.00098662108031247,0.1413563658569035,0.0023797046132524023,0.8552773089811773,3.6,1.2,26.6,1.2,1.2,1.0,1.3614124898604533e-16,-0.001671700239527919,0.002855645535902883,0.0035518358891248923
2.67,4.63965061741245e-18,0.0009809968083122375,0.14136490838969828,0.0023661612488615797,0.8552879340847735,3.6,1.2,26.6,1.2,1.2,1.0,1.2341470642317117e-16,-0.0016621973286592105,0.0028393934986338954,0.0035315885099240552
2.673,4.227210355343082e-18,0.0009754046753901443,0.1413734023065966,0.002352694927520097,0.8552984986221389,3.6,1.2,26.6,1.2,1.2,1.0,1.1244379545212598e-16,-0.0016527483025559433,0.0028232339130241165,0.0035114568314045195
2.676,3.319644200257543e-18,0.0009698445044094037,0.14138184787655686,0.002339305222834796,0.8553090029278446,3.6,1.2,26.6,1.2,1.2,1.0,8.830253572685064e-17,-0.0016433528621104707,0.002807166267401755,0.0034914402158738532
2.6790000000000003,2.3857893300245873e-18,0.0009643161052860839,0.14139024538070247,0.0023259916903608175,0.8553194473552963,3.6,1.2,26.6,1.2,1.2,1.0,6.346199617865402e-17,-0.0016340107020896804,0.002791190028432981,0.003471537979029902
