Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
87.0,0.3485873181503292,3.4012962574413548,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.026144657636533876,0.03485873181503292,0.3549250567660075,0.3401296257441355
88.0,0.339965693856568,3.415936860324973,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02546736254178983,0.0339965693856568,0.35608005814935495,0.3415936860324973
89.0,0.33152780048191266,3.430270388228946,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02480605174022295,0.03315278004819127,0.35720831683586945,0.34302703882289465
90.0,0.32327122859022867,3.444300831560508,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02416043242988201,0.032327122859022867,0.35831030412514586,0.34443008315605084
91.0,0.31519350345366315,3.4580322707001576,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.023530211284408065,0.031519350345366313,0.3593864926795107,0.34580322707001576
92.0,0.3072920948902424,3.4714688572999624,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02291509512569933,0.03072920948902424,0.36043735527605547,0.34714688572999625
93.0,0.29956444506133556,3.4846147537647085,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.022314793030052925,0.029956444506133557,0.3614633607276841,0.3484614753764709
94.0,0.29200794995650947,3.4974741805657854,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02172901468793225,0.02920079499565095,0.36246497718271004,0.34974741805657855
95.0,0.2846200203745158,3.510051438740068,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.021157474476876353,0.02846200203745158,0.363442669373673,0.35100514387400683
96.0,0.27739801969734307,3.5223508368224796,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.020599887309681954,0.027739801969734308,0.36439689965500566,0.352235083682248
97.0,0.27033928718034744,3.5343766998997737,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.020055970098369718,0.027033928718034745,0.3653281271055913,0.3534376699899774
98.0,0.26344116183721283,3.5461333803648194,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.019525443268982683,0.026344116183721285,0.366236806630667,0.354613338036482
99.0,0.2567009484055098,3.557625272165514,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0190080282073954,0.02567009484055098,0.36712339182951315,0.35576252721655144
100.0,0.2501159857399451,3.568856746743955,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.018503452198788743,0.02501159857399451,0.3679883282650006,0.3568856746743955
