Time,R,L,V,E,u,T,delta,pi,p,alpha,k,beta,sigma,z,Blood,R_Death,R_Birth,R_to_L,R_to_E,L_Death,L_to_E,E_Death,V_Death,V_Creation
40.0,880469400.7810707,140079.8154063228,825818.7981369548,10037.184887047362,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35218776.03124283,43866584.85343236,29811.435476324925,119245.74190529971,5603.192616252912,40342.986837020966,160594.9581927578,3096820.4930135803,3011155.4661142086
41.0,890515782.932172,125174.3027106538,749439.5337165671,9143.038821857079,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35620631.31728688,47280380.6131503,27362.89705824515,109451.5882329806,5006.972108426153,36050.19918066829,146288.62114971326,2810398.2514371267,2742911.646557124
42.0,903352927.1141877,112646.49790171339,690115.6895011296,8454.787635933668,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36134117.08456751,50322078.64241433,25560.13915448912,102240.55661795648,4505.859916068535,32442.191395693455,135276.6021749387,2587933.835629236,2536436.2907801005
43.0,918437400.7199187,102342.6198541488,645831.0883399165,7948.406619574357,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36737496.02879675,52860660.48581676,24319.372469240192,97277.48987696077,4093.704794165952,29474.674517994852,127174.50591318971,2421866.581274687,2384521.9858723073
44.0,935129908.4272131,94090.12953202633,614941.6044721161,7604.6216854750965,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,37405196.337088525,54788541.6128741,23577.06173740183,94308.24694960732,3763.6051812810533,27097.957305223583,121673.94696760154,2306031.0167704355,2281386.505642529
45.0,952726214.6515594,87718.77780703933,596176.3423345715,7408.730797515138,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,38109048.58606237,56029941.844580226,23287.706025786367,93150.82410314547,3508.751112281573,25263.008008427325,118539.69276024221,2235661.283754643,2222619.239254541
46.0,970494156.1571553,83073.8268235328,588592.6472497274,7349.953955102571,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,38819766.24628621,56547743.68551053,23420.25470503014,93681.01882012056,3322.9530729413123,23925.262125177444,117599.26328164114,2207222.427186478,2204986.186530771
47.0,987714618.9850134,80022.40331528733,591515.449821487,7420.614431215782,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,39508584.75940054,56347050.22488585,23954.186742911326,95816.7469716453,3200.896132611493,23046.452154802748,118729.83089945251,2218182.936830576,2226184.3293647347
48.0,1003723062.74599,78454.22277188659,604449.5156515478,7614.945711525227,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,40148922.5098396,55475771.95753899,24874.69668412917,99498.78673651669,3138.1689108754636,22594.816158303336,121839.13138440363,2266685.683693304,2284483.713457568
49.0,1017947986.4857963,78277.69487259653,626968.7002099706,7927.6481676007215,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,40717919.45943186,54021420.766384155,26167.08256470261,104668.33025881044,3131.1077949038613,22543.9761233078,126842.37068161154,2351132.6257873895,2378294.4502802165
50.0,1029942771.1656605,79412.02394955947,658586.3627954711,8352.199329378933,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,41197710.84662642,52103588.28240033,27810.556805528697,111242.2272221148,3176.480957982379,22870.662897473125,133635.18927006293,2469698.860483017,2505659.7988136797
