Time,V_bert,V_exp,V_gomp,V_lin,V_log,V_mend,V_surf,a_exp,a_mend,a_log,a_lin,a_surf,a_gomp,a_bert,b_mend,b_log,b_lin,b_surf,b_gomp,b_bert,c_gomp,tumour
26.759999999999998,536.9041393802185,424.93157692312127,506.2253118137217,471.79476076800734,466.63441695881363,493.02598640617424,474.7774216637755,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.88,538.7643877238523,426.18783155723304,508.0389370246038,473.36322726612775,468.17726979105504,494.6659705410025,476.347364947055,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.0,540.6289279967681,427.44779966510464,509.8581504094735,474.93638989174957,469.7248529208163,496.3102339166562,477.921801777984,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.119999999999997,542.4977651441422,428.7114921493368,511.6829630867631,476.5142596680806,471.2771784570366,497.95878463187586,479.5007416734236,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.24,544.3709041111415,429.97891993977663,513.5133861706245,478.09684763115206,472.8342585275002,499.6116307947093,481.0841941589533,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.36,546.2483498429222,431.25009399346766,515.3494307711106,479.6841648298615,474.39610527887356,501.2687805225094,482.6721687688921,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.48,548.130107291709,432.52502783729966,517.1910981999631,481.27621992325703,475.9627286548116,502.9302420540827,484.26467399388923,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.599999999999998,550.016181412909,433.80373617206953,519.0383853477108,482.87302049964615,477.5341376157879,504.59602368811824,485.86171785870727,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.72,551.906577137943,435.08622511355645,520.891322274713,484.4745822984261,479.11034866689727,506.26613335274925,487.46331196146514,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
27.84,553.8012994121927,436.37250582317563,522.7499197063244,486.08091632960156,480.69137394674055,507.94057920676164,489.06946583187676,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
