Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
4.4,4.591976953753775,3.752924996559776,0.0,4.591976953753775,0.0007015602925671827,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.225523962023476,3.744769968765692,1.2857535470510573,0.03752924996559776,0.0,0.0
4.62,4.475708807521695,4.023673615026224,0.0,4.475708807521695,0.04420834781005367,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.476752579553439,4.014703631044474,1.2531984661060747,0.04023673615026224,0.0,0.0
4.84,4.355211259115578,4.286544616814195,0.0,4.355211259115578,1.126583607458405,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.718868982133494,4.276724829494938,1.219459152552362,0.04286544616814195,0.0,0.0
5.06,4.230098832515844,4.541284362795127,0.0,4.230098832515844,1.969673632226943,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.950600255879477,4.530574036120736,1.1844276731044363,0.045412843627951276,0.0,0.0
5.28,4.099785992287751,4.78760946140575,0.0,4.099785992287751,1.9993041825884998,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.170670490923152,4.775960170006173,1.1479400778405704,0.0478760946140575,0.0,0.0
5.5,3.963454764292317,5.025194259838246,0.0,3.963454764292317,1.9999820017323595,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.377649480218598,5.0125473453571825,1.1097673340018488,0.05025194259838246,0.0,0.0
5.72,3.8200124819076953,5.253655452638366,0.0,3.8200124819076953,1.999999464472662,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.569751740395796,5.2399383812777485,1.0696034949341549,0.052536554526383665,0.0,0.0
5.94,3.6680130610919996,5.472533322828616,0.0,3.6680130610919996,1.9999999815345697,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.744586148441125,5.457654274734089,1.02704365710576,0.054725333228286155,0.0,0.0
6.16,3.505501454284195,5.6812646123832895,0.0,3.505501454284195,1.9999999992557291,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.898814885264326,5.665104002904776,0.9815404071995747,0.0568126461238329,0.0,0.0
6.38,3.329785594321496,5.879147965420563,0.0,3.329785594321496,1.9999999999645528,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,5.027555159268825,5.861544595984463,0.9323399664100189,0.05879147965420563,0.0,0.0
6.6,3.137013703143575,6.065283266682291,0.0,3.137013703143575,1.9999999999979772,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,5.123349896260459,6.046010127640591,0.878363836880201,0.06065283266682291,0.0,0.0
6.82,2.9214956632968665,6.238482634288064,0.0,2.9214956632968665,1.9999999999998592,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,5.174156630075264,6.217201747836839,0.8180187857231227,0.062384826342880645,0.0,0.0
7.04,2.674390307795009,6.397125601217266,0.0,2.674390307795009,1.9999999999999878,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,5.159279278005205,6.373294768634385,0.7488292861826026,0.06397125601217266,0.0,0.0
7.26,2.3810710212082173,6.538888870261133,0.0,2.3810710212082173,1.9999999999999987,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,5.040213259332067,6.511541757556147,0.6666998859383009,0.06538888870261134,0.0,0.0
7.48,2.015398740423301,6.660245887510314,0.0,2.015398740423301,1.9999999999999998,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.737621049278712,6.627362259439536,0.5643116473185243,0.06660245887510315,0.0,0.0
7.7,1.5253477831257032,6.755385167959211,0.0,1.5253477831257032,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.063841233120469,6.711386112877331,0.4270973792751969,0.06755385167959212,0.0,0.0
7.92,0.7908453363740354,6.813572593466326,0.0,0.7908453363740354,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.4785736325429646,6.728492837313708,0.22143669418472994,0.06813572593466326,0.0,0.0
8.14,-2.236840998777703e-14,6.81646674997611,0.0,-2.236840998777703e-14,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-8.142101235550871e-14,-1.5247352293185672e-11,-6.263154796577569e-15,0.0681646674997611,0.0,0.0
8.36,-1.0253096461151663e-14,6.801487006884979,0.0,-1.0253096461151663e-14,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-3.732127111859212e-14,-6.973630236093289e-12,-2.8708670091224658e-15,0.06801487006884979,0.0,0.0
8.58,6.084481964806156e-15,6.786540179345817,0.0,6.084481964806156e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.2147514351894383e-14,4.129258132463683e-12,1.7036549501457238e-15,0.06786540179345817,0.0,0.0
8.8,6.4462869845939e-16,6.771626179335455,0.0,6.4462869845939e-16,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.3464484623921793e-15,4.365184570438264e-13,1.804960355686292e-16,0.06771626179335455,0.0,0.0
9.02,5.423029975098587e-15,6.75674489927854,0.0,5.423029975098587e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.973982910935884e-14,3.6642030122862136e-12,1.5184483930276045e-15,0.0675674489927854,0.0,0.0
9.24,-1.0266140045444293e-15,6.741896312433913,0.0,-1.0266140045444293e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-3.736874976541723e-15,-6.921325171531811e-13,-2.8745192127244025e-16,0.06741896312433913,0.0,0.0
9.46,2.2189710991333586e-15,6.7270801746639,0.0,2.2189710991333586e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,8.077054800845423e-15,1.4927196489128869e-12,6.213119077573405e-16,0.067270801746639,0.0,0.0
9.68,1.94285212840797e-15,6.7122966401867785,0.0,1.94285212840797e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,7.071981747405008e-15,1.3040999813890015e-12,5.439985959542316e-16,0.06712296640186778,0.0,0.0
9.9,-1.8549709167206023e-15,6.69754570900255,0.0,-1.8549709167206023e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-6.752094136862994e-15,-1.2423752503608901e-12,-5.193918566817687e-16,0.0669754570900255,0.0,0.0
10.12,-1.2452053800370311e-15,6.682826688087956,0.0,-1.2452053800370311e-15,2.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-4.5325475833347946e-15,-8.321491745863214e-13,-3.4865750641036875e-16,0.06682826688087956,0.0,0.0
10.34,-3.796021329584537e-18,6.668139907462036,0.0,-3.796021329584537e-18,1.9999999999999998,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,-1.3817517639687716e-17,-2.5312401317379762e-15,-1.0628859722836705e-18,0.06668139907462037,0.0,0.0
