Time,Susceptible,Exposed,Infected,Recovered,Total_population,beta_o,k,gamma,omega,beta,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
58.0,5680652.230675819,2512610.846727054,1255011.585555911,551725.3370412124,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,712928.4363012182,358944.0477308868,122440.18529842023
59.0,4949552.803951847,2859757.871080478,1504556.652923457,686132.6720442136,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,744688.2600181703,408536.4301889439,146786.05161586538
60.0,4201356.490727719,3176288.1215892276,1776331.8214782476,846023.5662048024,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,746300.3227853827,453754.99218587234,173300.70883523932
61.0,3467906.173690358,3436575.8182970528,2062318.8073249431,1033199.2006876426,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,715192.8124039907,490938.9116744621,201201.88516142877
62.0,2781022.974960624,3618486.217324896,2351943.144997986,1248547.6627164904,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,654080.7922040545,516926.08554838266,229457.9251691485
63.0,2167221.7060458786,3707831.414094702,2633106.3714152295,1491840.5084441863,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,570652.5282458786,529689.6723233268,256888.4907016412
64.0,1643606.2488404196,3701114.885169264,2893626.5106132454,1761652.3553770673,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,475598.26146542287,528730.1691506256,282305.0960019388
65.0,1216256.8907421352,3605579.6150546228,3122736.6136741326,2055426.8805291033,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,379804.99243539246,515082.28706785827,304657.30676666205
66.0,881328.4704249047,3436728.31140389,3312266.6466289824,2369676.571542214,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,291919.4897312949,490960.69638222555,323148.04631177016
67.0,628019.0458339739,3214443.530838962,3457266.0718828836,2700271.3514441694,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,217122.89396580597,459205.75948506163,337294.335238966
68.0,442091.66982191906,2959124.6113924603,3556025.397884526,3042758.3209010805,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,157208.92060799242,422731.66460969276,346929.3938430122
69.0,308851.62888682913,2688854.4961321093,3609634.5743637616,3392659.3006172865,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,111484.15179784638,384121.6867539448,352159.5587095029
70.0,215072.21061578742,2417925.843018323,3621290.5977862137,3745711.348579661,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,77883.89741480473,345417.63215606863,353296.73201062076
71.0,149879.67809873843,2156531.1670380495,3595553.4477230283,4098035.7071401696,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,53890.03933315366,308075.5729295547,350785.78991330636
72.0,104891.04564623142,1911186.5409251524,3537684.8263336252,4446237.5870949775,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,37107.146060094055,273026.3756769445,345140.0693419348
73.0,73934.38870035016,1685484.5187144573,3453132.9545512595,4787448.138033919,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,25530.52740957814,240783.26188999123,336891.1041789754
74.0,52615.48535259894,1480887.530471366,3347173.1231441163,5119323.861031905,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,17611.31384334021,211555.14994054794,326553.5570670631
75.0,37875.3782241539,1297424.764539641,3224681.7823916716,5440018.074844519,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,12213.604216062331,185346.20958783952,314603.17937191384
76.0,27618.532615567266,1134226.1276587022,3090020.297803293,5748135.041922424,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,8534.182637764512,162032.14191893925,301465.47027398704
77.0,20421.418609599703,989914.520230363,2946986.708504297,6042677.352655727,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,6018.164921129262,141416.21861654898,287510.9702683877
78.0,15321.67290958601,862868.2024924248,2798819.503796646,6322990.620801331,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,4288.259697014203,123266.76280346033,273055.62960990454
79.0,11668.689306534925,751392.2696133702,2648228.709797933,6588710.331282148,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,3090.1358027277925,107341.64546015723,258363.84115659614
80.0,9021.731414648473,653822.7592248404,2497443.0611588354,6839712.448201663,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2253.1260521152517,93403.15791458303,243653.04248971713
81.0,7080.709297372775,568586.7988730418,2348263.42536371,7076069.066465863,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1662.7370668653261,81226.60432660613,229098.92804190892
82.0,5640.026446664551,494233.2525616182,2202117.3974291934,7298009.323562511,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1242.0000360160764,70604.6797611951,214840.77541058953
83.0,4557.701574931008,429445.1632192806,2060111.5659091081,7505885.569296668,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,938.9373728477526,61349.24768201677,200986.5444816585
84.0,3734.8439432674513,373040.9182299319,1923079.8039471172,7700144.433879673,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,718.2402958191849,53291.506455573384,187617.58875288468
85.0,3101.921749896293,323968.9700455662,1791626.7213618285,7881302.386842698,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,555.7485894687641,46281.235153799455,174792.89456278135
86.0,2609.5712595418277,281299.04367999505,1666166.1034476392,8049925.281612812,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,434.7979177179755,40185.53748299306,162552.8312184551
87.0,2222.3943342402763,244211.7472034513,1546954.4423445943,8206611.416117701,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,343.79427879944524,34887.35757024345,150922.42234958094
88.0,1914.7500966225832,211987.71301957098,1434119.9039323246,8351977.632951469,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,274.59812246227887,30283.928718836854,139914.1719475415
89.0,1667.878119345173,183996.9524778647,1327687.125672938,8486648.04372984,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,221.44203062461781,26285.25264013032,129530.4836677775
90.0,1467.9142103318243,159688.79731559064,1227598.3045847588,8611244.983889302,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,180.20089958792227,22812.662518113335,119765.71819359365
91.0,1304.5103643451748,138582.62197417338,1133731.0028540248,8726381.86480744,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,147.89638436025243,19797.49762736449,110607.9303694415
92.0,1169.8748946608926,120259.4179123577,1045913.0796981906,8832657.627494773,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,122.35874539363704,17179.899664705685,102040.32596843517
93.0,1058.0800037838278,104354.2190457659,963935.1974921777,8930652.503458256,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,101.99205574098882,14907.73067022098,94042.48180253434
94.0,964.5720401033542,90549.35113112892,887561.1820558963,9020924.894772856,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,85.61167000922003,12935.608654539685,86591.35648255529
95.0,885.8289525759076,78568.4820961803,816536.4709932922,9104009.217957934,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,72.33116468400159,11224.057646814032,79662.11464657658
96.0,819.1030258882455,68171.36087732598,750595.0748569187,9180414.46123985,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,61.481469703211616,9738.756100852157,73228.80609811583
97.0,762.2286345692883,59149.16379241589,689465.2820959286,9250623.32547707,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,52.553018055490874,8449.872091893158,67264.92238656088
98.0,713.4887327367317,51320.454039101474,632874.1419278332,9315091.91530031,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,45.15485695059361,7331.48610266392,61743.83416062133
99.0,671.5109882400654,44527.63020936437,580551.0613094001,9374249.797492977,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,38.98464169036941,6361.083668819166,56639.142092406386
100.0,635.1898043535563,38633.81867002489,532230.6237386629,9428500.36778694,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,33.806746576353255,5519.111433743747,51924.95188256769
101.0,603.6291151114941,33520.17553838687,487654.72368057637,9478221.471665906,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,29.436258933524652,4788.591716887334,47576.08249700071
102.0,576.0974508546061,29083.522477255872,446574.1830990002,9523766.19697287,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,25.727024850081214,4154.784770533342,43568.22387732156
103.0,551.993866314773,25234.29650185183,408749.90385439055,9565463.805777423,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,22.562743978437677,3604.895895365047,39878.04936993819
104.0,530.821694970343,21894.760084784746,373953.65974996757,9603620.758470256,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,19.85027155088407,3127.819741432095,36483.292998866586
105.0,512.1680015865662,18997.44588888116,341968.58533936617,9638521.800770145,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,17.51453669586483,2713.918127347896,33362.7971542939
106.0,495.6875373915497,16483.80623641615,312589.4203890874,9670431.085837083,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,15.494668000731862,2354.8271075157018,30496.536442579756
107.0,481.09008353610386,14303.034872339997,285622.56471929007,9699593.31032481,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,13.741018352059948,2043.288652757875,27865.623036578658
108.0,468.1304566917343,12411.048199595822,260885.97318893782,9726234.848154753,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,12.212866977340502,1773.0051126496605,25452.296430285962
