task_fig2a.time/60,task_fig2a.MAPK_PP,task_fig2a.MAPK
39.6,263.9156613109859,14.141293093531285
39.75,260.48564401700304,16.15896023220893
39.9,256.92140656478153,18.332650101493602
40.05,253.2486771769371,20.64471736340041
40.2,249.49096937111693,23.07665426079646
40.35,245.66850166656317,25.610782376958305
40.5,241.797825239414,28.231302234988778
40.65,237.89193505563085,30.924816881173662
40.8,233.9606657072504,33.68041485768025
40.95,230.01120802658514,36.489492131412426
41.1,226.04863195849828,39.345462353778586
41.25,222.0763394046276,42.24341853082028
41.4,218.09646460898753,45.17982326692036
41.55,214.11019166552722,48.152219515359626
41.7,210.11801372421635,51.158979520132256
41.85,206.1199887778007,54.19904255554818
42.0,202.11595998707833,57.271688344688094
42.15,198.10576104489306,60.376301534562344
42.3,194.08940535546378,63.512156386374265
42.45,190.0672306052553,66.67826193585822
42.6,186.03996906503662,69.873256686989
42.75,182.00875498215902,73.09540151515743
42.9,177.97506742862788,76.34263877202365
43.05,173.94062600649994,79.61268369422724
43.2,169.90729262312894,82.90315115578659
43.35,165.8769726391494,86.21165460614942
43.5,161.85154472091733,89.53588025609056
43.65,157.83282069147964,92.87363894077752
43.8,153.8225250343531,96.22288656170412
43.95,149.82229513494983,99.58172444105273
44.1,145.8336938495635,102.94838714896115
44.25,141.8582288242741,106.32122115986985
44.4,137.8973760785568,109.69865942304124
44.55,133.95260494227793,113.07919455239812
44.7,130.0254031168479,116.46135173808906
44.85,126.1173014671272,119.84366224176947
45.0,122.22989837654107,123.22463754525525
45.15,118.36488391930078,126.60274383878759
45.3,114.5240641072082,129.97637662719006
45.45,110.70938591161178,133.3438346200713
45.6,106.92296354842253,136.70329231092
45.75,103.1671065909733,140.05277053985466
45.9,99.44435046395388,143.39010430065207
46.05,95.75749003203275,146.71290687212274
46.2,92.10961694294544,150.0185293378564
46.35,88.5041613634047,153.3040144981902
46.5,84.94493882943233,156.56604400200024
46.65,81.4362029963986,159.80087734950965
46.8,77.98270512388575,163.00428117406125
46.95,74.58976072129242,166.17144759762564
47.1,71.26332446806187,169.29689922537938
47.25,68.01007376997138,172.3743790671736
47.4,64.83750133111862,175.39672328200305
47.55,61.75401686044928,178.35571448174298
47.7,58.76905747334972,181.2419135661557
47.85,55.893205703677474,184.04446838577724
48.0,53.13831312716379,186.7508982785439
48.15,50.51762641723343,189.3468547902609
48.3,48.045911160098925,191.81586106805128
48.45,45.7395673875505,194.13903649193318
48.6,43.616729789480075,196.29481321208354
48.75,41.697344381132254,198.25866224823253
48.9,40.003210483841656,200.00285296968508
49.05,38.55798149052001,201.4962736912875
49.2,37.38712132181585,202.70434769078383
49.35,36.51781479773506,203.58908726449366
49.5,35.9788339838301,204.10932853322902
49.65,35.800368814655194,204.2211810022324
49.8,36.01383258336498,203.87870098047313
49.95,36.65164323091898,203.03479421635006
50.1,37.746974521714854,201.6423161346348
50.25,39.33346201991116,199.6553045870981
50.4,41.44484463460978,197.03026690030603
50.55,44.11450350702444,193.72745955559867
50.7,47.37489743888546,189.71206944819986
50.85,51.256911648783074,184.95524080020297
51.0,55.78914834971801,179.43492533390358
51.15,60.99719499785622,173.13657565232512
51.3,66.9029141877961,166.05372841435215
51.45,73.5238039379757,158.18851832372317
51.6,80.87246438306073,149.55222443521365
51.75,88.95617683895244,140.16596080895906
51.9,97.77658396573226,130.0616760133783
52.05,107.32944434451572,119.28369078344933
52.2,117.60441572886045,107.8911262324089
52.35,128.58479449667107,95.96179946610776
52.5,140.2470982018721,83.59858249741335
52.65,152.56032057914717,70.93953376654551
52.8,165.48450131579784,58.17631656517845
52.95,178.96802574205412,45.58357430051148
53.1,192.9423063749374,33.56677329664002
53.25,207.31109617849683,22.728349139144356
53.4,221.929512929965,13.884939599173176
53.55,236.56639324929492,7.799604793436811
53.7,250.85453147527772,4.477097827621404
53.85,264.24607169394704,2.963027595426763
54.0,275.97931272852,2.2243548138178015
54.15,285.1393511140236,1.7039449734813688
54.3,291.10707501120754,1.2361380824589803
54.45,294.247895802225,0.862804758916112
54.6,295.6555120913444,0.6333188212331676
54.75,296.24230417690717,0.5186881623995417
54.9,296.48215315859704,0.46762059065851824
55.05,296.578588090242,0.4462777998662902
55.2,296.6136578251535,0.4382615620150078
55.35,296.61977516905694,0.4365733466110228
55.5,296.6095777254533,0.43839352798519665
55.65,296.58792957721056,0.44263075621434844
55.8,296.5566044412588,0.4488933358583928
55.95,296.51611454867503,0.45707975727638267
56.1,296.4664152777821,0.46721940850810256
56.25,296.40717323984995,0.479413018765166
56.4,296.3378686392895,0.49381001017825193
56.55,296.25782166037624,0.5106043995371949
56.7,296.16619078929193,0.5300363015836198
56.85,296.0619671236732,0.5523961384112962
57.0,295.9439531942462,0.5780330507783741
57.15,295.8107308857133,0.6073679023237839
57.3,295.66062730315593,0.6409036154571572
57.45,295.49167740421507,0.6792413275085847
57.6,295.301577772473,0.7231005596593139
57.75,295.0876202922722,0.7733470268933902
57.9,294.8466232774178,0.8310203272192634
58.05,294.57484619900606,0.8973754202019025
58.2,294.26790092859403,0.9739291406028252
58.35,293.92063988691456,1.0625166780907327
58.5,293.5270200022505,1.1653640707344661
58.65,293.0799623503882,1.2851812478647233
58.8,292.5712185645386,1.4252708497910755
58.95,291.9912249579814,1.589650083441781
59.1,291.32894422676566,1.7831996586125574
59.25,290.5717597296406,2.011855855585968
59.4,289.7054512835869,2.28279369061189
59.55,288.7142929224694,2.604632972675441
59.7,287.58126628442267,2.987640573228317
59.85,286.28846718408886,3.44387446991351
60.0,284.8177739542655,3.9872083917450243
60.15,283.15176414220826,4.633224836719921
60.3,281.27498974952437,5.3988391885834
60.45,279.1754627122085,6.301473463096634
60.6,276.8459012658606,7.357934705879176
60.75,274.28500787378596,8.582850101195556
60.9,271.49843365664157,9.986860154657222
61.05,268.4986391890376,11.575201111005333
61.2,265.30421449045576,13.346851556966447
61.35,261.93861992920995,15.294275125773288
61.5,258.4277211052818,17.40439281066019
61.65,254.79772606205296,19.660538851413307
61.8,251.07324889674595,22.044264551514296
61.95,247.27585970174528,24.537460376450206
62.1,243.423948233944,27.123463829917657
62.25,239.53154612944434,29.787683988148014
62.4,235.61036173044977,32.51854790790152
62.55,231.66759619654815,35.305796055171776
62.7,227.7100092477858,38.142711967302304
62.85,223.7415368660575,41.02352664106239
63.0,219.76472196258396,43.944161241771795
63.15,215.7810642742507,46.90169360296603
63.3,211.79136448175555,49.89421191505588
63.45,207.7957975083367,52.920415395504286
63.6,203.79427100084143,55.97947129587682
63.75,199.78665727032887,59.070785591124526
63.9,195.77286029293364,62.19368705556905
64.05,191.75304564991276,65.34729242547955
64.2,187.7277852230223,68.53040669694019
64.35,183.6980537979508,71.74144593470271
64.5,179.6651921806898,74.97846860609997
64.65,175.63083436879054,78.23927260572688
64.8,171.59679707820456,81.52150249698337
64.95,167.56497602272424,84.82275933083928
65.1,163.5372678273574,88.14069202182866
65.25,159.51551602721386,91.4730561292742
65.4,155.50148196320316,94.81774579109498
65.55,151.49683860519434,98.1728024271133
65.7,147.50317791136712,101.53640725792646
65.85,143.5220278186769,104.90686288102063
66.0,139.5548745347317,108.28256936467315
66.15,135.60318704467343,111.66199777585734
66.3,131.66844221502737,115.0436630381762
66.45,127.75214976491544,118.42609715596929
