Time,x_Malignant_Cells,y_Lymphocytes,alpha,k,sigma,compartment,Malignant_Cells_Growth,Malignant_Cells_Death_Lymphocytes,Lymphocytes_Production,Lymphocyte_Death,Lymphocyte_Elimination_Malignant_Cells
34.56,0.7874224356493086,2.768549431782348,2.0,0.2,0.25,1.0,1.5748448712986172,2.180017936789566,0.25,1.384274715891174,0.15748448712986174
34.74,0.6768025829678682,2.905713758300238,2.0,0.2,0.25,1.0,1.3536051659357364,1.9665945769828732,0.25,1.452856879150119,0.13536051659357365
34.92,0.5700373568250855,2.9933943430122487,2.0,0.2,0.25,1.0,1.140074713650171,1.7063465992258655,0.25,1.4966971715061244,0.1140074713650171
35.1,0.47474787150374925,3.03110118287476,2.0,0.2,0.25,1.0,0.9494957430074985,1.439008834882289,0.25,1.51555059143738,0.09494957430074985
35.28,0.39433770402255847,3.0240966741607225,2.0,0.2,0.25,1.0,0.7886754080451169,1.1925153392307943,0.25,1.5120483370803612,0.0788675408045117
35.46,0.3290788055549885,2.9807008072962637,2.0,0.2,0.25,1.0,0.658157611109977,0.9808854613818443,0.25,1.4903504036481319,0.0658157611109977
35.64,0.27749119258831406,2.9099601735719296,2.0,0.2,0.25,1.0,0.5549823851766281,0.8074883189489721,0.25,1.4549800867859648,0.055498238517662814
35.82,0.23742269095968352,2.8201929209522043,2.0,0.2,0.25,1.0,0.47484538191936704,0.6695777923179224,0.25,1.4100964604761022,0.04748453819193671
36.0,0.20669293455953996,2.7183426052777104,2.0,0.2,0.25,1.0,0.41338586911907993,0.5618622102230751,0.25,1.3591713026388552,0.041338586911908
36.18,0.1833925848321814,2.609857248438348,2.0,0.2,0.25,1.0,0.3667851696643628,0.47862846683411325,0.25,1.304928624219174,0.03667851696643628
36.36,0.16597437115822794,2.498834218605828,2.0,0.2,0.25,1.0,0.3319487423164559,0.4147424380617642,0.25,1.249417109302914,0.03319487423164559
36.54,0.15324217730677042,2.3882594600412816,2.0,0.2,0.25,1.0,0.30648435461354084,0.3659820796302179,0.25,1.1941297300206408,0.030648435461354085
36.72,0.14430149250484903,2.280251953842485,2.0,0.2,0.25,1.0,0.28860298500969805,0.32904376022656867,0.25,1.1401259769212424,0.028860298500969807
36.9,0.13850244462006933,2.1762769522025596,2.0,0.2,0.25,1.0,0.27700488924013866,0.3014196780503683,0.25,1.0881384761012798,0.027700488924013868
37.08,0.13538832365898557,2.077321132462567,2.0,0.2,0.25,1.0,0.27077664731797113,0.2812450258254925,0.25,1.0386605662312836,0.027077664731797114
37.26,0.13465496472968772,1.9840234421830256,2.0,0.2,0.25,1.0,0.26930992945937543,0.26715860663002894,0.25,0.9920117210915128,0.026930992945937544
37.44,0.13612005259252677,1.896776211498264,2.0,0.2,0.25,1.0,0.27224010518505354,0.2581892776653974,0.25,0.948388105749132,0.027224010518505357
37.62,0.13970051274918557,1.8158031273532205,2.0,0.2,0.25,1.0,0.27940102549837115,0.25366862794281964,0.25,0.9079015636766102,0.027940102549837115
37.8,0.14539667657922642,1.7412169614951307,2.0,0.2,0.25,1.0,0.29079335315845284,0.25316715940477086,0.25,0.8706084807475654,0.029079335315845285
37.98,0.15328167102946236,1.6730628000988674,2.0,0.2,0.25,1.0,0.3065633420589247,0.25644986173638573,0.25,0.8365314000494337,0.030656334205892474
38.16,0.1634940483653767,1.6113523890537689,2.0,0.2,0.25,1.0,0.3269880967307534,0.2634465254296222,0.25,0.8056761945268844,0.03269880967307534
38.339999999999996,0.1762323653687442,1.5560917296284418,2.0,0.2,0.25,1.0,0.3524647307374884,0.27423372624316067,0.25,0.7780458648142209,0.03524647307374884
38.519999999999996,0.19175043953168516,1.5073036667698074,2.0,0.2,0.25,1.0,0.3835008790633703,0.28902614061083126,0.25,0.7536518333849037,0.03835008790633704
38.699999999999996,0.2103514905396509,1.4650482752630611,2.0,0.2,0.25,1.0,0.4207029810793018,0.30817508841412966,0.25,0.7325241376315306,0.042070298107930185
38.879999999999995,0.2323800743605094,1.4294423156298386,2.0,0.2,0.25,1.0,0.4647601487210188,0.3321739116001206,0.25,0.7147211578149193,0.04647601487210188
39.059999999999995,0.2582084708926632,1.4006781923909166,2.0,0.2,0.25,1.0,0.5164169417853264,0.3616669742699581,0.25,0.7003390961954583,0.05164169417853264
39.24,0.28821353644901293,1.37904290325375,2.0,0.2,0.25,1.0,0.5764270728980259,0.39745883206167726,0.25,0.689521451626875,0.057642707289802586
39.42,0.32274362470058443,1.3649399662823842,2.0,0.2,0.25,1.0,0.6454872494011689,0.44052567221667016,0.25,0.6824699831411921,0.06454872494011689
39.6,0.36206981172990904,1.358910433010034,2.0,0.2,0.25,1.0,0.7241396234598181,0.49202044463775213,0.25,0.679455216505017,0.07241396234598181
39.78,0.40631300165521145,1.3616550819586268,2.0,0.2,0.25,1.0,0.8126260033104229,0.5532581635696826,0.25,0.6808275409793134,0.0812626003310423
39.96,0.45534800674016934,1.3740522379366613,2.0,0.2,0.25,1.0,0.9106960134803387,0.6256719477013276,0.25,0.6870261189683307,0.09106960134803388
40.14,0.5086814113651144,1.3971648383843338,2.0,0.2,0.25,1.0,1.0173628227302287,0.7107117818990548,0.25,0.6985824191921669,0.10173628227302288
40.32,0.5653053934967195,1.4322269748603584,2.0,0.2,0.25,1.0,1.130610786993439,0.8096456336000512,0.25,0.7161134874301792,0.1130610786993439
40.5,0.6235462469996162,1.4805921542989036,2.0,0.2,0.25,1.0,1.2470924939992325,0.923217681150158,0.25,0.7402960771494518,0.12470924939992326
40.68,0.6809399156458257,1.5436133950798472,2.0,0.2,0.25,1.0,1.3618798312916514,1.0511079750354377,0.25,0.7718066975399236,0.13618798312916514
40.86,0.7341946438465083,1.6224236079966863,2.0,0.2,0.25,1.0,1.4683892876930167,1.1911747230412941,0.25,0.8112118039983431,0.14683892876930169
41.04,0.7793188634719257,1.71758904611596,2.0,0.2,0.25,1.0,1.5586377269438514,1.338549543330919,0.25,0.85879452305798,0.15586377269438514
41.22,0.8119906006985157,1.8286383026386155,2.0,0.2,0.25,1.0,1.6239812013970314,1.4848371138198435,0.25,0.9143191513193077,0.16239812013970314
41.4,0.8282198470750277,1.9535094172397698,2.0,0.2,0.25,1.0,1.6564396941500554,1.6179352708059487,0.25,0.9767547086198849,0.16564396941500556
41.58,0.8252102610768436,2.088097767518648,2.0,0.2,0.25,1.0,1.6504205221536872,1.723119703888038,0.25,1.044048883759324,0.16504205221536872
41.76,0.8021941632993482,2.2261407337976165,2.0,0.2,0.25,1.0,1.6043883265986965,1.7857971033353761,0.25,1.1130703668988082,0.16043883265986966
41.94,0.7608922268367007,2.3596832229062104,2.0,0.2,0.25,1.0,1.5217844536734013,1.795464622106309,0.25,1.1798416114531052,0.15217844536734015
42.12,0.7053142395941944,2.480178079900751,2.0,0.2,0.25,1.0,1.4106284791883887,1.7493049164833872,0.25,1.2400890399503754,0.14106284791883889
42.3,0.6408985427019067,2.5799521099931053,2.0,0.2,0.25,1.0,1.2817970854038134,1.6534875475352906,0.25,1.2899760549965527,0.12817970854038135
42.48,0.5733171347670429,2.6535310659210802,2.0,0.2,0.25,1.0,1.1466342695340859,1.521314827729211,0.25,1.3267655329605401,0.11466342695340859
42.66,0.5074195839658538,2.6983543750017223,2.0,0.2,0.25,1.0,1.0148391679317077,1.3691978543558154,0.25,1.3491771875008611,0.10148391679317077
42.839999999999996,0.4466405089344607,2.714725014959962,2.0,0.2,0.25,1.0,0.8932810178689214,1.2125061622988291,0.25,1.357362507479981,0.08932810178689216
43.019999999999996,0.3929192767654837,2.7051740090681906,2.0,0.2,0.25,1.0,0.7858385535309674,1.0629150151678575,0.25,1.3525870045340953,0.07858385535309675
43.199999999999996,0.34696302984010197,2.673588061383149,2.0,0.2,0.25,1.0,0.6939260596802039,0.9276362143218219,0.25,1.3367940306915744,0.0693926059680204
43.379999999999995,0.3086374688903602,2.624397878413836,2.0,0.2,0.25,1.0,0.6172749377807204,0.8099875185548776,0.25,1.312198939206918,0.061727493778072046
43.559999999999995,0.2773343004143472,2.5619793744539514,2.0,0.2,0.25,1.0,0.5546686008286944,0.7105247574901735,0.25,1.2809896872269757,0.05546686008286944
43.739999999999995,0.2522459694059678,2.490295398790689,2.0,0.2,0.25,1.0,0.5044919388119355,0.6281669769751784,0.25,1.2451476993953445,0.05044919388119356
43.92,0.23254057145554471,2.412732715761214,2.0,0.2,0.25,1.0,0.46508114291108943,0.561058244492601,0.25,1.206366357880607,0.046508114291108946
44.1,0.2174573974125233,2.332069824841965,2.0,0.2,0.25,1.0,0.4349147948250466,0.5071258346944127,0.25,1.1660349124209826,0.04349147948250466
