Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
35.1,16641.82610091835,399.1142318475492,7399.927188498967,22018.271131655525,6629.7927378883705,55699.568902148836,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,36.999635942494834,78.88911176437368,0.01821158239920367,0.3376586776112079,466.1954128754349,199.7980340894721,40.63758174871739,12.236144370828914,1100.9135565827762,473.3672014852297,2.5415713290050514,2533.316750059971,2869.0508197983236
36.0,16330.434177570212,363.3998611610669,6858.151111465384,21409.105891309155,6374.344263341063,57092.18071591557,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,34.29075555732692,71.82865050610769,0.016581935664779484,0.31293743521616546,432.0635200223192,185.1700800095654,39.513288106176915,11.764681002750166,1070.4552945654577,455.12818040255195,2.6051162060672275,2459.6278022979686,2815.3668522131047
36.9,16002.383852100551,331.35746822706903,6355.026479831187,20798.790109028807,6122.916234203544,58440.99995030022,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,31.775132399155936,65.49411046694567,0.01511984127520116,0.2899798582746971,400.3666682293648,171.58571495544209,38.38687098892684,11.300637889333087,1039.9395054514405,437.1762191221331,2.666662827732199,2386.024822613058,2758.810976102135
37.800000000000004,15660.246940680398,302.5421488958716,5887.971315994527,20189.444688996642,5876.1301355497,59746.304123276,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,29.439856579972634,59.79754251140372,0.013804998254118623,0.26866813114883026,370.94219290765517,158.97522553185223,37.26224480135287,10.845162062074593,1009.4722344498322,419.5556916782486,2.726223857145084,2312.750975677149,2699.8265725733004
38.7,15306.416085088866,276.57129596437215,5454.544824785744,19582.95478503717,5634.508772962909,61008.497535219074,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,27.27272412392872,54.6633115916288,0.012619948234854302,0.2488908803549735,343.6363239615019,147.2727102692151,36.14288883990815,10.399218426643532,979.1477392518586,402.3039263895517,2.7838177425320465,2240.0209171518627,2638.8261330693203
39.6,14943.107666176062,253.11492086374338,5052.445736939841,18980.988299854176,5398.485862479461,62228.09503388696,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,25.262228684699203,50.02618381728074,0.011549633839012611,0.23054309897656494,318.30408142720995,136.4160348973757,35.031881435859866,9.963607462367968,949.0494149927089,385.4518905810335,2.839467976396262,2168.023123109391,2576.191761648753
40.5,14572.366202561305,231.8875814432361,4679.509220707098,18385.013423314176,5168.414958461152,63405.7071840378,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,23.397546103535493,45.829730936271204,0.010581030341254863,0.21352600574086492,294.8090809045472,126.34674895909167,33.93193232447134,9.538981699784657,919.2506711657088,369.0248280341263,2.8932024188076446,2096.9220902544753,2512.275933321569
41.4,14196.06998224832,212.64171436707556,4333.7026354455875,17796.315194623025,4944.577731777389,64542.02677417467,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,21.668513177227936,42.02501241716819,0.009702841426569658,0.19774685125538216,273.023266033072,117.00997115703088,32.84541321265209,9.125860999100302,889.8157597311513,353.0428500489056,2.94505268170559,2026.860406051172,2447.4024649396106
42.300000000000004,13815.937561394878,195.16203649141315,4013.1205981175494,17216.011040363708,4727.191603482389,65637.81657071949,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,20.06560299058775,38.56946880481584,0.008905243725103183,0.18311869289210378,252.82659768140562,108.35425614917385,31.77438645642647,8.724646639135202,860.8005520181855,337.52148048864257,2.99505357012193,1957.9606842104904,2381.867635584477
43.2,13433.53483339966,179.2607704825779,3715.979658046659,16645.06532778165,4516.41678061054,66693.89818710889,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,18.579898290233295,35.42597798514043,0.00817966895712003,0.16956015179666906,234.10671845693952,100.33145076725981,30.720631920913647,8.33563430279823,832.2532663890825,322.47215813559257,3.043242574277779,1890.3273718086919,2315.9414052781017
