Time,Susceptible,Exposed,Infected,Recovered,Total_Population,r_1,r_2,beta_1,beta_2,alpha,gamma,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
1.0,9728824.517958606,910137.1989025975,380985.5512481892,61052.731890604686,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,367946.3416310296,127419.20784636367,18287.30645991308
1.0357142857142858,9316554.088847877,1176931.2590201555,505316.23091284453,82198.42121912038,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,458194.4935846496,164770.37626282178,24255.17908381654
1.0714285714285714,8810177.535683963,1496759.5859361992,663950.7917745415,110112.08660529071,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,555103.709867205,209546.3420310679,31869.638005177992
1.1071428571428572,8206778.41972234,1865327.1126194792,862320.3722454697,146574.09541271097,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,650613.3741471097,261145.7957667271,41391.37786778255
1.1428571428571428,7513053.663786619,2269897.3358021076,1104452.6967945425,193596.30361673998,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,733766.3342199984,317785.62701229507,53013.72944613804
1.1785714285714286,6747322.125828521,2688543.0292890705,1391807.883328579,253326.96155384267,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,792744.5160775762,376396.0241004699,66806.77839977179
1.2142857142857142,5938825.33746596,3092035.210414503,1722238.2043283153,327901.24779123184,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,818106.469732407,432884.92945803044,82667.43380775914
1.25,5123700.082591349,3448589.7407782013,2089457.6037731126,419252.57285734266,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,805921.4166193703,482802.5637089482,100293.96498110941
1.2857142857142858,4338585.016019395,3730181.860058193,2483316.119599768,528917.0043226472,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,759129.568684748,522225.4604081471,119199.17374078886
1.3214285714285714,3614144.055051794,3918085.243014594,2890899.4143773494,657871.2875562657,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,686340.5179582849,548531.9340220432,138763.17189011278
1.3571428571428572,2970817.295675525,4005589.0703187613,3298155.650790093,806437.9832156242,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,598820.2029146447,560782.4698446266,158311.47123792447
1.3928571428571428,2417812.296702291,3997334.5811630595,3691581.070431291,974272.051703364,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,507306.35494087974,559626.8413628284,177195.89138070197
1.4285714285714286,1954786.0774187648,3906240.3259488917,4059552.450544156,1160421.1460881955,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,419948.0823145903,546873.6456328449,194858.5176261195
1.4642857142857142,1574850.8300515555,3749609.536969959,4393102.808723966,1363436.8242545312,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,341689.6339822105,524945.3351757943,210868.93481875036
1.5,1267632.0944822964,3545708.084525315,4686150.317388563,1581509.5036038375,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,274681.95123843546,496399.1318335442,224935.21523465106
1.5357142857142858,1021656.5909219781,3311419.7985347826,4935319.672817448,1812603.9377258029,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,219118.90982614702,463598.7717948696,236895.3442952375
1.5714285714285714,825883.4641115436,3061007.039609824,5139529.659792801,2054579.8364858446,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,174064.54736535423,428540.9855453754,246697.42367005447
1.6071428571428572,670502.1103758657,2805715.441363964,5299492.363234502,2305290.0850256816,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,138078.0362846506,392800.16179095506,254375.6334352561
1.6428571428571428,547221.7747975946,2553902.079747838,5417221.290268791,2562654.85518579,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,109609.19105583662,357546.2911646973,260026.62193290197
1.6785714285714286,449261.8017909551,2311424.130650797,5495600.664685852,2824713.402872409,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,87211.23315944568,323599.3782911116,263788.8319049209
1.7142857142857142,371194.6426047397,2082112.7081362947,5538035.5588387055,3089657.090420271,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,69632.54768705997,291495.7791390813,265825.70682425785
1.75,308736.8996116522,1868234.1529780072,5548181.0480063,3355847.8994040512,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,55838.65958929639,261552.78141692103,266312.6903043024
1.7857142857142858,258535.30085290293,1670892.5322094606,5529747.074074978,3621825.092862667,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,44998.36214127743,233924.9545093245,265427.85955559893
1.8214285714285714,217976.9678140074,1490358.2796925234,5486360.370825233,3886304.381668243,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,36455.82599649632,208650.1591569533,263345.2977996112
1.8571428571428572,185030.58101630074,1326325.6883285276,5421472.01428591,4148171.7163692676,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,29699.57951504763,185685.59636599387,260230.6566857237
1.8928571428571428,158116.47682632343,1178108.724794585,5338301.514579667,4406473.283799429,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,24333.349604828552,164935.2214712419,256238.47269982402
1.9285714285714286,136004.17589814647,1044786.0757059901,5239806.1563867275,4660403.59200914,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,20051.152538358383,146270.05059883863,251510.69550656292
1.9642857142857142,117732.75858268386,925306.0471744294,5128668.654201132,4909292.540041758,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,16616.996127777642,129542.84660442013,246176.09540165434
2.0,102549.19184714308,818560.9162927819,5007297.699242247,5152592.192617833,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,13848.7531391154,114598.52828098949,240350.28956362788
2.0357142857142856,89860.97997326501,723438.326328397,4877836.869976702,5389863.823721642,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,11605.606354306565,101281.3656859756,234136.1697588817
2.0714285714285716,79199.91336074704,638855.6120551304,4742178.958417333,5620765.516166795,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,9778.383748795246,89439.78568771826,227624.59000403198
2.107142857142857,70194.26224162646,563781.780787075,4601983.425747864,5845040.53122344,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,8282.159386409012,78929.44931019051,220895.20443589747
2.142857142857143,62547.60309843875,497250.4598459476,4458695.373037174,6062506.564018443,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,7050.629621168094,69615.06437843267,214017.37790578438
2.1785714285714284,56022.28850273535,438366.83638565347,4313564.956856171,6273045.918255446,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,6031.800391054849,61371.35709399149,207051.1179290962
2.2142857142857144,50426.89254020369,386309.98491507914,4167666.5122932983,6476596.610251423,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,5184.725338946309,54083.39788811108,200047.99259007833
2.25,45606.490687556296,340332.25940080825,4021916.8761087507,6673144.373802889,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,4477.015892102218,47646.51631611316,193052.01005322003
2.2857142857142856,41435.07078821786,299756.78070488083,3877092.631568156,6862715.516938751,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,3882.9334417428818,41965.94929868332,186100.4463152715
2.3214285714285716,37809.66194100534,263973.653403584,3733846.1037268294,7045370.5809285855,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,3381.9313957173645,36956.31147650176,179224.6129788878
2.357142857142857,34645.72383068003,232435.50609097374,3592720.0372416913,7221198.73283666,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,2957.532296506115,32540.970852736325,172450.56178760118
2.392857142857143,31873.52717837732,204652.69092145853,3454160.950712671,7390312.831187497,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,2596.4616392098123,28651.376729004198,165799.7256342082
2.4285714285714284,29435.30268294098,180188.39562403897,3318531.1998259244,7552845.1018671,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,2287.9773365735227,25226.375387365457,159289.49759164438
2.4642857142857144,27282.97889293652,158653.84597930504,3186119.8123790585,7708943.362748704,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,2023.3480131008303,22211.538437102707,152933.75099419482
2.5,25376.385579951086,139703.70550107514,3057152.165670913,7858767.743248063,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1795.4459297015594,19558.51877015052,146743.30395220383
2.5357142857142856,23681.823913929562,123031.74777935892,2931798.577308865,8002487.850997849,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1598.4281983006242,17224.44468911025,140726.3317108255
2.5714285714285716,22170.887565173954,108366.7960924173,2810182.0334908674,8140280.282851544,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1427.4836995969881,15171.351452938423,134888.73760756163
2.607142857142857,20819.534007633323,95469.01209785623,2692384.9323642347,8272326.521530279,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1278.6347118938677,13365.661693699874,129234.47675348326
2.642857142857143,19607.372537844873,84126.51991085347,2578454.9366667336,8398811.17088457,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1148.5817497968046,11777.712787519487,123765.83696000322
2.6785714285714284,18517.033054307736,74152.32375013261,2468410.237758047,8519920.405437516,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1034.5764210968637,10381.325325018566,118483.69141238625
2.7142857142857144,17533.651550027273,65381.517660092766,2362244.176350615,8635840.654439267,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,934.3199650625515,9153.412472412989,113387.72046482952
2.75,16644.46655907111,57668.770762757034,2259929.2579472954,8746757.504730878,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,845.8828448580158,8073.627906785986,108476.60438147018
2.7857142857142856,15838.494892619434,50886.084641353875,2161420.6246865117,8852854.795779515,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,767.6402060271638,7124.051849789543,103748.18998495257
2.8214285714285716,15106.250774446296,44920.79536389382,2066659.0904747013,8954313.86338696,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,698.2188831830725,6288.911350945135,99199.63634278566
2.857142857142857,14439.510858125555,39673.78002277465,1975573.7980419386,9051312.911077164,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,636.4542754044767,5554.329203188451,94827.54230601306
2.892857142857143,13831.12551149508,35057.861091969775,1888084.5085190732,9144026.504877465,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,581.355509337313,4908.100552875769,90628.05640891552
2.9285714285714284,13274.863111182154,30996.39603671791,1804103.5660879656,9232625.174764138,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,532.0769731909634,4339.495445140507,86596.97117222236
2.9642857142857144,12765.275386099263,27422.026414465512,1723537.5976963884,9317275.10050305,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,487.89473840545816,3839.083698025172,82729.80468942664
3.0,12297.584561421556,24275.569965579154,1646288.972742849,9398137.872730155,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,448.1871491702981,3398.579795181082,79021.87069165676
3.0357142857142856,11867.590095599337,21505.038281785462,1572257.052798465,9475370.318824153,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,412.4188437109618,3010.705359449965,75468.33853432632
3.0714285714285716,11471.58949992599,19064.768867025243,1501339.2575445913,9549124.384088462,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,380.1274787374159,2669.0676413835345,72064.28436214039
3.107142857142857,11106.310967356507,16914.664446939412,1433431.9624466621,9619547.062139047,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,350.9126702001268,2368.053022571518,68804.73419743979
3.142857142857143,10768.855728634457,15019.518612905955,1368431.2625724433,9686780.36308602,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,324.42674960266305,2102.732605806834,65684.70060347728
3.1785714285714284,10456.64964490761,13348.422089530224,1306233.612346547,9750961.31591902,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,300.3670477039346,1868.7790925342315,62699.21339263426
3.2142857142857144,10167.401680884945,11874.240519612824,1246736.358647521,9812221.999151986,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,278.469407628785,1662.3936727457956,59843.345215081004
3.25,9899.067873669,10573.152901452198,1189838.1852853366,9870689.593939546,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,258.50270897149204,1480.2414062033079,57112.23289369616
3.2857142857142856,9649.820790542315,9424.249034850109,1135439.4723039935,9926486.45787062,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,240.2642555216841,1319.3948648790154,54501.094670591694
3.3214285714285716,9418.023155718509,8409.173239887945,1083442.5901279126,9979730.213476485,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,223.57586681686246,1177.2842535843124,52005.24432613981
3.357142857142857,9202.205063444684,7511.811919653314,1033752.1333878711,10030533.849629037,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,208.28055879576127,1051.653668751464,49620.10240261781
3.392857142857143,9001.04421562275,6718.019627342394,986275.1031546142,10079005.833002426,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,194.23971698922335,940.5227478279353,47341.20495142148
3.4285714285714284,8813.348676783255,6015.376555554006,940921.048008636,10125250.226759031,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,181.33068185038445,842.1527177775608,45164.210304414526
3.4642857142857144,8638.042099921962,5392.978030318859,897602.1641953235,10169366.815674441,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,169.44468781240053,755.0169242446403,43084.903881375525
3.5,8474.15071564504,4841.248378853848,856233.3659535184,10211451.234951988,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,158.48509253985574,677.7747730395388,41099.20156576888
3.5357142857142856,8320.79197126823,4351.77789952159,816732.3283116166,10251595.101817597,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,148.365854879548,609.2489059330227,39203.151758957596
3.5714285714285716,8177.16462489082,3917.180083274946,779019.5066857339,10289886.148606101,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,139.0102241699465,548.4052116584925,37392.93632091523
3.607142857142857,8042.539993958517,3530.96539012925,743018.1383397416,10326408.356276171,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,130.34960720624642,494.33515461809503,35664.8706403076
3.642857142857143,7916.254333917901,3187.431655166022,708654.2263566845,10361242.087654235,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,122.32258901095759,446.24043172324315,34015.40286512086
3.6785714285714284,7797.702083780126,2881.5674433385984,675856.5109264356,10394464.219546447,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,114.87408277823972,403.4194420674038,32441.11252446891
3.7142857142857144,7686.329926250518,2608.967326521654,644556.4295424394,10426148.273204789,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,107.95459144135543,365.25542571303157,30938.708618037093
3.75,7581.631525501999,2365.7577419122917,614688.0681072695,10456364.542625315,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,101.51956445942426,331.20608386772085,29505.027269148934
3.7857142857142856,7483.142825459136,2148.5316557844662,586188.1051143117,10485180.220404444,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,95.52883603335866,300.7944318098253,28137.02904548696
3.8214285714285716,7390.4379578658045,1954.2915183960442,558995.7498124203,10512659.520711318,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,89.94613510752029,273.60081257544624,26831.795990996176
3.857142857142857,7303.125574654442,1780.3992354137856,533052.6760151428,10538863.79917479,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,84.73865570893702,249.25589295793,25586.528448726855
3.892857142857143,7220.84555935478,1624.5322450427686,508302.9526598307,10563851.669535773,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,79.8766796467928,227.43451430598762,24398.541727671873
3.9285714285714284,7143.266107607714,1484.645063428975,484692.97196428134,10587679.116864681,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,75.3332450437304,207.8503088800565,23265.262654285503
3.9642857142857144,7070.081120690198,1358.935453937488,462171.37606844853,10610399.607356925,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,71.08385444585782,190.25096355124836,22184.22605128553
4.0,7001.007872977633,1245.8147962763694,440688.98275238817,10632064.194578357,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,67.10621734311658,174.41407147869174,21153.071172114633
4.035714285714286,6935.784923503633,1143.8821915430035,420198.7108284846,10652721.62205647,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,63.380022699628235,160.1435068160205,20169.53811976726
4.071428571428571,6874.1702363750655,1051.9016668210431,400655.50573665334,10672418.422360152,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,59.88673757103185,147.26623335494605,19231.46427535936
4.107142857142857,6815.939495711276,968.78221486254,382016.265707805,10691199.012581622,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,56.60942864110093,135.6295100807556,18336.78075397464
