Time,Normal_cells,Tumor_cells,r,beta1,gamma,alpha1,alpha2,beta2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth
9.0,3.462432610159658e-08,2.5135148775674536,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.49300094150069e-08,8.105858592965736e-08,-0.006013918020606978
9.299999999999999,1.95280190870513e-08,2.51182647923018,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.42048183033603e-09,4.568609714328575e-08,-0.005259103188507377
9.6,1.1019648368879928e-08,2.5103498724188213,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.751672376660869e-09,2.5765479217561425e-08,-0.004599785138144173
9.9,6.220489341878065e-09,2.5090582897800813,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.6822750042177716e-09,1.4536891023736474e-08,-0.0040237070924385365
10.2,3.5126903684965848e-09,2.5079283933785987,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.5146720868957114e-09,8.205239004716329e-09,-0.003520225065895195
10.5,1.9841499980195683e-09,2.5069398245284713,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.555654791460329e-10,4.632918325029232e-09,-0.0030800868741065954
10.799999999999999,1.1210551508381291e-09,2.5060748153960226,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.833989810413996e-10,2.6167199418847047e-09,-0.002695243328331178
11.1,6.336941888538783e-10,2.505317853149018,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.7324893423379183e-10,1.4786956367490194e-09,-0.0023586865296104853
11.4,3.5879659411130416e-10,2.5046553889746104,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.5471309138079418e-10,8.370136219297322e-10,-0.0020643110169010098
11.7,2.0311133645449085e-10,2.5040755843624085,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.758160827917641e-11,4.737157574202374e-10,-0.0018067937370913984
12.0,1.1488435403125054e-10,2.5035680940449474,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.9538133458275216e-11,2.678900161541313e-10,-0.001581492030770683
12.299999999999999,6.540575254006665e-11,2.5031238763096297,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.8202960495276734e-11,1.524875979540307e-10,-0.0013843551230743642
12.6,3.7990175320143584e-11,2.502735025377231,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.638136359804591e-11,8.855689950572037e-11,-0.001211846442513352
12.9,2.238779120009615e-11,2.502394624933265,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,9.653615565481459e-12,5.217990450152998e-11,-0.0010608761166723108
13.2,1.2971292069515655e-11,2.502096625290067,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,5.593221140375151e-12,3.022898388144975e-11,-0.0009287445538809593
13.5,7.289001778907244e-12,2.501835736423181,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,3.1430175670648038e-12,1.6984903413176372e-11,-0.0008130935313067845
13.799999999999999,4.138681082175766e-12,2.501607331428022,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.7845992826341905e-12,9.643114788893081e-12,-0.0007118622631064131
14.1,2.476001527095499e-12,2.5014073613108967,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.0676518584835792e-12,5.768615139064235e-12,-0.000623248765921949
14.399999999999999,1.5127100005349887e-12,2.5012322778585996,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,6.522805522306871e-13,3.5240814394637087e-12,-0.0005456750125011277
14.7,9.948336911280717e-13,2.5010789565247395,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.2897228761442456e-13,2.3174699980678663e-12,-0.00047775225550835434
15.0,6.393484792606142e-13,2.500944695658644,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.7568706425717687e-13,1.4892854899953937e-12,-0.00041828029594255495
