Time,Amyloid,n,a,omega,e,k,ka,C,t1,Brain
17.28,0.0007898029791084671,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.36,0.0008271237378859597,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.44,0.0008660234055115623,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.52,0.000906561001929318,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.6,0.0009487974613815453,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.68,0.0009927956847736175,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.76,0.0010386205931797177,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.84,0.0010863391825026714,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.92,0.001136020579306174,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.0,0.001187736097833958,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.080000000000002,0.0012415592982318868,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.16,0.0012975660459887406,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.240000000000002,0.0013558345726114585,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.32,0.00141644553754805,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.400000000000002,0.0014794820913763829,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.48,0.0015450299402696155,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.56,0.0016131774117565945,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.64,0.0016840155217877628,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.72,0.0017576380431229,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.8,0.0018341415750521284,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.88,0.0019136256144646202,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
18.96,0.0019961926282758835,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.04,0.0020819481272273954,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.12,0.0021710007410680188,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.2,0.0022634622951291927,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.28,0.0023594478883047776,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.36,0.002459075972442437,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.44,0.002562468433158882,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.52,0.0026697506720838593,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.6,0.0027810516905424354,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.68,0.0028965041746801257,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.76,0.0030162445820376416,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.84,0.003140413229579031,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
19.92,0.0032691543831762093,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.0,0.003402616348552434,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.080000000000002,0.003540951563686723,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.16,0.003684316692676215,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.240000000000002,0.003832872721058256,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.32,0.003986785052586428,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.400000000000002,0.004146223607457422,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.48,0.004311362921981976,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.56,0.0044823822496927734,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.64,0.004659465663877871,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.72,0.00484280216153099,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.8,0.005032585768702469,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.88,0.005229015647236768,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
20.96,0.00543229620287855,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.04,0.005642637194727462,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.12,0.00586025384601796,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.2,0.006085366956200988,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.28,0.00631820301429864,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.36,0.006558994313501154,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.44,0.006807979066973613,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.52,0.007065401524835702,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.6,0.007331512092273895,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.68,0.007606567448743995,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.76,0.007890830668217608,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.84,0.008184571340420277,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
21.92,0.008488065693010305,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.0,0.008801596714636206,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.080000000000002,0.009125454278814948,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.16,0.00945993526855915,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.240000000000002,0.009805343701685842,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.32,0.01016199085672953,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.400000000000002,0.010530195399376718,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.48,0.010910283509338203,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.56,0.011302589007565644,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.64,0.011707453483716268,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
22.72,0.012125226423760904,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
