Time,N,T,I,u,a1,a2,a3,b1,b2,alpha,c1,c2,c3,c4,d1,d2,r1,r2,s,p,v,compartment,Presence_of_Normal_Cell,Normal_cells_attacked_and_removed,Induction_of_tumor_cell,Tumor_cells_removed_by_immune_system,Initiation_immune_response_against_tumor,Removal_of_immune_response_components,Increase_in_amount_of_drug_at_tumor_site,Decrease_of_chemotherapeutic_drug_at_tumor_site
5.7,0.6885441476973794,0.3249794616045809,0.6176411865522148,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.2144511043690688,0.22376270640967938,0.32905171670966643,0.324123056544956,0.33321163674331344,0.32424893758099627,0.0,0.0
5.85,0.687181742094102,0.3257105374530872,0.618901515828149,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.2149629954266171,0.22382233454541872,0.3294347748676624,0.3246137072208771,0.3332216613479365,0.32536304851654657,0.0,0.0
6.0,0.6858843719473471,0.3264263417381721,0.6200031233289821,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21544700026574032,0.22389072639015625,0.32980827773640925,0.32508340209741643,0.33323079247997384,0.32638597608031683,0.0,0.0
6.1499999999999995,0.684646799725583,0.3271284934672457,0.6209589395187424,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21590555935110045,0.22396747615140106,0.3301731633436438,0.32553415734629343,0.33323910274378876,0.3273251502935332,0.0,0.0
6.3,0.6834641669678913,0.3278184788423649,0.6217809449431594,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.2163408994387777,0.22405218355867823,0.3305302856577643,0.32596782533089563,0.3332466595108873,0.3281874725330667,0.0,0.0
6.45,0.6823319927794285,0.3284976234482648,0.6224800202429202,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21675504440908244,0.2241444380307608,0.3308804022556602,0.3263860416776743,0.3332535239540275,0.32897921134241104,0.0,0.0
6.6,0.6812460882631034,0.329167140539544,0.6230662749133683,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21714985548932333,0.22424382687731553,0.3312242011928461,0.326790298917245,0.33325975294742793,0.3297061990625325,0.0,0.0
6.75,0.6802026660371011,0.3298281157074793,0.62354887364184,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21752699915312101,0.22434996363822088,0.3315622946944994,0.32718193866062545,0.3332653980493359,0.33037372477317717,0.0,0.0
6.8999999999999995,0.6791981489791321,0.33048154115062206,0.6239363203213404,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21788802340245278,0.22446245102127338,0.3318952381639976,0.3275621693810958,0.33327050711656575,0.33098670078391285,0.0,0.0
7.05,0.6782293073261678,0.3311283048986395,0.6242363601059316,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21823431401003443,0.22458092086749235,0.33222352589038967,0.3279320847564793,0.33327512371372997,0.3315495997991602,0.0,0.0
7.199999999999999,0.677293167814474,0.33176921410601606,0.6244561229461003,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21856713264630875,0.2247050220051821,0.33254760401623884,0.32829268058194083,0.333279287950849,0.33206654174273753,0.0,0.0
7.35,0.6763869815734532,0.33240499763793646,0.6246021553650755,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21888763273140627,0.22483441301225468,0.33286787277488994,0.3286448520016436,0.3332830366419344,0.332541309051793,0.0,0.0
7.5,0.675508236297768,0.3330363095739494,0.6246804461727081,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21919685899164681,0.22496877010341604,0.33318468911897087,0.3289894053315995,0.33328640343863347,0.33297735969090847,0.0,0.0
7.6499999999999995,0.6746546114467723,0.3336637475389218,0.624696523631757,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.219495766700377,0.22510778594974523,0.3334983766758067,0.3293270775244996,0.3332894194114633,0.3333778878758601,0.0,0.0
