Time,M,N,S,T,a,d,u1,u2,r1,e1,r2,e2,u3,b,r3,e3,Q1,Q2,B0,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death,tumor_killing,virus_therapy,virus_burst,virus_clearance
360.0,0.037503974509816976,0.2937428860656429,0.1931623663763175,0.06210102677789716,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038632473275263504,0.011348014195729722,0.004798232514727071,0.00907841135658378,0.008812286581969288,0.003838586011781657,0.0037260616066738294,0.00023290353253117166,0.001,0.00011645176626558583,0.0011251192352945093
362.5,0.03748232778083992,0.2944075551425933,0.19313864275958717,0.06180038803767144,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038627728551917434,0.011372295123681759,0.004774417227044676,0.009097836098945409,0.008832226654277799,0.0038195337816357413,0.0037080232822602863,0.00023164224014110996,0.001,0.00011582112007055498,0.0011244698334251977
365.0,0.03746072923660238,0.29507093087249203,0.19311494087831454,0.06150036934657667,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003862298817566291,0.011396521074070107,0.004750656076143465,0.009117216859256087,0.008852127926174761,0.0038005248609147726,0.0036900221607946,0.00023038486840431496,0.001,0.00011519243420215748,0.0011238218770980714
367.5,0.037439179162761016,0.29573299761325034,0.19309126145846026,0.0612009790980225,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003861825229169205,0.011420691512806865,0.00472694970261201,0.009136553210245493,0.00887198992839751,0.0037815597620896083,0.00367205874588135,0.00022913144213872565,0.001,0.00011456572106936283,0.0011231753748828304
370.0,0.037417679385717585,0.29639374429117527,0.19306760568453746,0.060902220767721726,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038613521136907493,0.011444806110034452,0.004703298377798059,0.009155844888027561,0.008891812328735258,0.0037626387022384475,0.0036541332460633034,0.00022788197705648027,0.001,0.00011394098852824014,0.0011225303815715275
372.5,0.03739623101910875,0.2970531581264497,0.19304397452921912,0.06060409981988715,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038608794905843824,0.011468864458237292,0.0046797025207986195,0.009175091566589836,0.008911594743793492,0.0037437620166388963,0.003636245989193229,0.0002266364917569627,0.001,0.00011331824587848135,0.0011218869305732624
375.0,0.037374835116611056,0.2977112264173533,0.19302036894678692,0.06030662173959227,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038604073789357384,0.011492866152535591,0.0046561625512441685,0.009194292922028474,0.0089313367925206,0.003724930040995335,0.003618397304375536,0.0002253950043957093,0.001,0.00011269750219785465,0.0011212450534983317
377.5,0.03735349267862387,0.2983679365328911,0.1929967898745342,0.060009792037932566,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003859935797490684,0.01151681079046735,0.004632678889743747,0.009213448632373882,0.008951038095986734,0.003706143111794998,0.003600587522275954,0.0002241575327534655,0.001,0.00011207876637673275,0.0011206047803587159
380.0,0.0373322046500339,0.29902327620471675,0.1929732380805091,0.05971361597249002,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003859464761610182,0.011540697974133327,0.004609251932682963,0.009232558379306663,0.008970698286141502,0.0036874015461463706,0.0035828169583494007,0.00022292409318785305,0.001,0.00011146204659392652,0.001119966139501017
382.5,0.037310971890060836,0.29967723475598346,0.1929497135302319,0.05941809737656262,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038589942706046382,0.011564527319539813,0.0045858819469276725,0.009251621855631853,0.008990317042679503,0.0036687055575421387,0.003565085842593757,0.00022169469609778253,0.001,0.00011084734804889127,0.001119329156701825
385.0,0.03728979529525451,0.30032979919059594,0.19292621739212004,0.05912324237733555,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003858524347842401,0.011588298425595335,0.004562569404726738,0.009270638740476268,0.009009893975717878,0.0036500555237813904,0.003547394542640133,0.00022046936054425593,0.001,0.00011023468027212796,0.0011186938588576352
387.5,0.037268675704494755,0.3009809575982141,0.192902750286953,0.05882905615508957,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038580550057390603,0.011612010900939258,0.004539314691640952,0.009289608720751406,0.009029428727946423,0.003631451753312762,0.003529743369305374,0.00021924810158455442,0.001,0.00010962405079227721,0.0011180602711348426
390.0,0.037247613934257504,0.30163069818766347,0.19287931278174475,0.05853554386079961,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038575862556348953,0.01163566435606288,0.004516118189270683,0.009308531484850304,0.009048920945629904,0.0036128945514165467,0.0035121326316479764,0.00021803093391588608,0.001,0.00010901546695794304,0.001117428418027725
392.5,0.03722661078511919,0.30227900928555723,0.19285590538807004,0.058242710615596126,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003857118107761401,0.011659258403114995,0.00449298027521046,0.009327406722491997,0.009068370278566716,0.0035943842201683683,0.0034945626369357673,0.0002168178719157127,0.001,0.00010840893595785635,0.0011167983235535757
395.0,0.03720566697810602,0.30292587930392245,0.19283252861839384,0.05795056151792787,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038566505723678767,0.011682792658025149,0.004469901324943128,0.009346234126420121,0.009087776379117674,0.003575921059954503,0.003477033691075672,0.00021560892930302705,0.001,0.00010780446465151353,0.0011161700093431804
397.5,0.03718478276881665,0.30357129656546855,0.19280918330881236,0.057659101686097815,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038561836661762474,0.011706266753357054,0.004446881722566514,0.009365013402685644,0.009107138896964056,0.003557505378053212,0.0034595461011658686,0.0002144041170842657,0.001,0.00010720205854213285,0.0011155434830644995
400.0,0.03716395910581411,0.3042152498111103,0.19278586966501754,0.057368336131273484,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003855717393300351,0.011729680300039094,0.004423921828921043,0.009383744240031277,0.00912645749433331,0.003539137463136835,0.003442100167876409,0.0002132034497951246,0.001,0.0001066017248975623,0.0011149187731744233
402.5,0.03714319664804943,0.3048577277616152,0.19276258807837918,0.05707826986552684,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003855251761567584,0.011753032919804578,0.004401022008926046,0.009402426335843664,0.009145731832848456,0.003520817607140837,0.00342469619193161,0.00021200694019456973,0.001,0.00010600347009728486,0.0011142958994414828
405.0,0.03712249604717578,0.305498719238077,0.1927393388962363,0.056788907871017986,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038547867779247257,0.011776324235918774,0.004378182623879711,0.009421059388735019,0.009164961577142309,0.003502546099103769,0.003407334472261079,0.0002108146007965295,0.001,0.00010540730039826475,0.0011136748814152735
407.5,0.03710185795236909,0.3061382131597933,0.19271612242161548,0.056500255099641364,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.00385432244843231,0.011799553873047467,0.004355404031453996,0.009439643098437976,0.009184146394793797,0.0034843232251631972,0.003390015305978482,0.0002096264438979511,0.001,0.00010481322194897556,0.0011130557385710725
410.0,0.037081282877797266,0.306776198632044,0.19269293914427812,0.056212316310552145,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038538587828855627,0.011822721474783486,0.004332686578395255,0.00945817717982679,0.009203285958961319,0.0034661492627162047,0.0033727389786331287,0.00020844248023278015,0.001,0.00010422124011639007,0.001112438486333918
412.5,0.03706077023003376,0.3074126655837128,0.19266979138659934,0.0559250949161505,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003853395827731987,0.011845826829522474,0.004310030548308193,0.00947666146361798,0.009222379967511383,0.0034480244386465553,0.0033555056949690298,0.0002072627092780283,0.001,0.00010363135463901414,0.0011118231069010128
415.0,0.03704032123564323,0.30804760285212157,0.192646678380731,0.05563859643155223,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.00385293356761462,0.011868869494521563,0.004287436316921812,0.009495095595617252,0.009241428085563648,0.00342994905353745,0.0033383157858931337,0.00020608714849250077,0.001,0.00010304357424625039,0.0011112096370692968
417.5,0.03701993639957716,0.30868099984762426,0.19262360055703898,0.055352825468615724,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038524720111407797,0.011891849122839238,0.004264904217108052,0.00951347929827139,0.009260429995428728,0.003411923373686442,0.0033211695281169435,0.0002049158078385049,0.001,0.00010245790391925245,0.0011105980919873147
420.0,0.03699961623683801,0.30931284607574244,0.1926005583196634,0.055067786593502546,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038520111663932683,0.01191476536992642,0.004242434577334667,0.009531812295941139,0.009279385382272272,0.003393947661867734,0.0033040671956101526,0.00020374869709716874,0.001,0.00010187434854858437,0.0011099884871051402
422.5,0.036979361278186844,0.30994313113446176,0.19257755204474286,0.05478348432737074,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038515510408948573,0.011937617893391475,0.004220027721698638,0.009550094314713181,0.009298293934033853,0.0033760221773589108,0.0032870090596422443,0.00020258582590197295,0.001,0.00010129291295098648,0.0011093808383456053
425.0,0.03695917207585109,0.3105718447115291,0.19255458207863882,0.05449992314706807,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038510916415727763,0.01196040635276408,0.004197683969960651,0.009568325082211266,0.009317155341345872,0.003358147175968521,0.003269995388824084,0.00020142720377131488,0.001,0.00010071360188565744,0.0011087751622755326
