Time,M,N,Z,q,r,alpha,k1,beta,d1,s,k2,d2,compartment,Increase_in_the_density_of_tumor_cel,Removal_of_tumor_cell_from_the_system,Activation_and_transfer_of_predator_cells_like_CTL_NK_and_macrophage,Removal_of_hunting_predator_cell,Converstion_of_hunting_to_resting_predator_cell,Removal_of_resting_predator_cells
70.0,2.7191937827008283,5.064407606895383,0.23763271670313707,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.129007723067051,4.131331703319812,0.1203468938118583,0.10128815213790766,0.12556982130798008,0.1274758753129524
70.25,2.718616223048357,5.06914448434887,0.23715867841473967,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.132021161494094,4.13431752963808,0.12021916066015449,0.1013828896869774,0.12544781273473357,0.1273339210125967
70.5,2.718045534498707,5.073825980317999,0.2366896101602177,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.134998012489429,4.137267014588058,0.12009218933022514,0.10147651960635998,0.1253265777764075,0.12719287763503168
70.75,2.717481656086651,5.078452560925851,0.23622547800135335,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.137938620414608,4.1401805026866825,0.11996598837119063,0.10156905121851702,0.1252061235931194,0.12705275271123123
71.0,2.716924527044745,5.083024691644045,0.23576624799135562,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.140843327975797,4.143058336890527,0.1198405659996334,0.10166049383288091,0.1250864570308886,0.12691355343937408
71.25,2.716374086819495,5.087542837159159,0.23531188618927393,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.143712476150044,4.145900858532983,0.11971593010806518,0.10175085674318318,0.12496758462918622,0.1267752866937434
71.5,2.715830275087527,5.092007461239146,0.23486235867441127,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.146546404111533,4.148708407261455,0.11959208827343268,0.10184014922478292,0.12484951262854865,0.126637959033665
71.75,2.7152930317717474,5.096419026599756,0.23441763156073783,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.149345449157839,4.151481320974581,0.11946904776565959,0.10192838053199513,0.12473224697825218,0.12650157671248172
72.0,2.714762297057515,5.100777994770954,0.2339776710113043,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.152109946636144,4.154219935759446,0.11934681555622187,0.10201555989541909,0.12461579334404442,0.126366145686561
72.25,2.714238001621041,5.1050848805000335,0.23354243224114069,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.154840280834682,4.15692461524626,0.11922539397894509,0.10210169761000067,0.12450015418478935,0.12623166694617932
72.5,2.7137200834144766,5.109340158182856,0.23311187839718497,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.157536797555071,4.159595700077074,0.11910478816441757,0.10218680316365712,0.1243853337464749,0.1260981445163331
72.75,2.7132084895385056,5.113544251386385,0.23268598266123253,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.160199794417859,4.162233502347708,0.11898500690155377,0.1022708850277277,0.1242713386695307,0.12596558638139074
73.0,2.712703160433923,5.117697620888561,0.2322647104612301,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.1628296031838135,4.16483835309887,0.11886605561438077,0.10235395241777122,0.12415817325396802,0.12583399692821767
73.25,2.712204036816014,5.121800725996936,0.2318480272688795,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.165426553648196,4.167410581444824,0.11874793943867043,0.10243601451993872,0.12404584153113664,0.1257033802567368
73.5,2.7117110596890326,5.125854024424509,0.23143589861215008,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.167990973575336,4.169950514515043,0.11863066322973921,0.10251708048849018,0.12393434727096186,0.12557374018810372
73.75,2.7112241703606763,5.129857972165559,0.23102829008779127,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.170523188633179,4.172458477395801,0.11851423157026335,0.10259715944331119,0.12382369398921744,0.12544508027289708
74.0,2.710743310456565,5.13381302337148,0.23062516737384464,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.173023522327765,4.174934793071709,0.11839864877810709,0.1026762604674296,0.12371388495483131,0.12531740379932244
74.25,2.710268421934715,5.1377196302266155,0.2302264962421566,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.175492295937693,4.177379782367188,0.11828391891416222,0.10275439260453231,0.1236049231972227,0.1251907138014269
74.5,2.709799447100019,5.141578242824094,0.22983224257089052,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.1779298284485025,4.179793763887865,0.11817004579019602,0.10283156485648189,0.12349681151366709,0.12506501306732273
74.75,2.7093363286187206,5.14538930904166,0.2294423723570393,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.180336436487035,4.182177053961884,0.11805703297670657,0.1029077861808332,0.12338955247668713,0.12494030414741775
75.0,2.7088790095328914,5.149153274417513,0.22905685172893764,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.182712434255715,4.184529966581147,0.1179448838107826,0.10298306548835026,0.12328314844146722,0.12481658936265072
75.25,2.7084274332749083,5.152870582026137,0.2286756469587745,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.1850581334667964,4.186852813342449,0.11783360140396637,0.10305741164052273,0.12317760155328922,0.1246938708127296
75.5,2.7079815436819294,5.156541672354139,0.2282987244751054,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.187373843276526,4.189145903388528,0.11772318865011769,0.10313083344708279,0.1230729137549871,0.12457215038437085
75.75,2.7075412597414767,5.160167172765998,0.22792602319304234,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.189660001414559,4.19140965822824,0.11761363826998386,0.10320334345531997,0.12296907907032498,0.12445141896577513
76.0,2.7071065413902535,5.163747403806763,0.22755752659415782,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.191916832508591,4.193644312479668,0.11750495871672709,0.10327494807613526,0.12286610366429672,0.12433168451455182
76.25,2.706677334168042,5.1672827944426025,0.22719320209094004,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.194144635539842,4.195850165686288,0.11739715241788357,0.10334565588885206,0.1227639890140838,0.12421294848061176
76.5,2.7062535823148313,5.170773783778879,0.2268330153714757,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.196343715817509,4.198027522707362,0.11729022091783381,0.10341547567557757,0.12266273588287642,0.12409521137897808
76.75,2.705835230444413,5.174220808487748,0.22647693222954732,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.198514376296532,4.2001766861114165,0.11718416553845933,0.10348441616975496,0.12256234483265847,0.12397847350534574
77.0,2.705422223555539,5.177624302708925,0.22612491857350625,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.2006569175282635,4.202297956130993,0.11707898738542628,0.10355248605417851,0.12246281623037664,0.12386273494263147
77.25,2.705014507043076,5.180984697950442,0.22577694043514587,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.202771637611085,4.20439163061724,0.11697468735445593,0.10361969395900884,0.12236415025411054,0.1237479955675103
77.5,2.704612026709159,5.184302422989407,0.22543296397857432,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.204858832140941,4.206458004994375,0.11687126613758067,0.10368604845978814,0.12226634689924208,0.1236342550569379
77.75,2.704214728774344,5.187577903772763,0.22509295550908776,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.206918794161799,4.2084973722139924,0.11676872422938493,0.10375155807545527,0.12216940598462317,0.12352151289465757
78.0,2.7038225598887675,5.190811563318053,0.22475688148204323,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.208951814116013,4.21051002270925,0.11666706193322951,0.10381623126636105,0.12207332715873946,0.12340976837769081
78.25,2.7034354671432976,5.194003821614169,0.22442470851173169,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.2109581797946305,4.2124962443488725,0.11656627936745803,0.10388007643228338,0.12197810990587024,0.12329902062280998
78.5,2.7030533980806895,5.197155095522124,0.2240964033802511,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.212938176287613,4.214456322391034,0.11646637647158535,0.10394310191044248,0.12188375355224179,0.12318926857299288
