Time,Exposed_Human,Infected_Human,Recovered,Susceptible_Human,Exposed_Mosquito,Infected_Mosquito,Susceptible_Mosquito,Capital_lambda_h,Psi_h,Psi_v,sigma_v,sigma_h,Beta_hv,Beta_vh,Beta_tilde_vh,v_h,v_v,gamma_h,delta_h,rho_h,u_1h,u_2h,u_1v,u_2v,N_h,N_v,f_h,f_v,lambda_h,lambda_v,Baseline_dummy_variable,Human,Mosquito,Human_Immigration,Human_Birth,Human_Loss_of_Immunity,Human_Infection,Human_Susceptible_natural_death,Human_disease_progression,Human_Exposed_natural_death,Human_Recovery,Human_disease_induced_death,Human_Infectious_natural_death,Human_Recovered_natural_death,Mosquito_birth,Mosquito_infection,Mosquito_Susceptible_death,Mosquito_disease_progression,Mosquito_Exposed_death,Mosquito_Infected_death
200.0,0.8645183119644283,22.467696490482616,11.477508683717357,586.5780108499788,25.86309911834809,16.463426994060786,2382.673474516332,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.3877343361431,2425.000000628741,0.0001330775468672286,0.13000000002514966,0.00014801932763228124,0.002316236616341407,0.0,1.0,1.0,0.041,0.034176325388487874,0.030989273446036865,0.08682488276989483,0.07806036273017379,0.08645183119644284,0.00011504797617802357,0.07863693771668916,0.0004044185368286871,0.002989945932710868,0.0015273986997764199,315.25000008173635,5.518835546460132,309.7475517470466,2.1466372268228913,3.3622028860357,2.140245509641952
210.0,0.8671005042548272,22.5123809939512,11.933012370278846,585.9961080611059,25.96295449726453,16.52727516729749,2382.509771550578,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.3086019295908,2425.00000121514,0.00013306172038591817,0.13000000004860562,0.00014860793681695082,0.0023253148561606287,0.0,1.0,1.0,0.041,0.0341719731061275,0.03221913339975289,0.08708367260172391,0.07797365027806316,0.08671005042548273,0.00011537788484364447,0.0787933334788292,0.00040522285789112164,0.0029955361450383932,0.0015878271553757463,315.2500001579682,5.5400853667344245,309.72627041737854,2.154925223272956,3.3751840859063345,2.148545772551992
220.0,0.8696850601874206,22.55800392399623,12.377352741205128,585.4245796192396,26.062617870577164,16.591001106618844,2382.346382380316,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.2296213446283,2425.000001357512,0.00013304592426892565,0.13000000005430049,0.00014919553414277054,0.0023343769841386603,0.0,1.0,1.0,0.041,0.03416762917395456,0.03341885240125385,0.08734273285659935,0.07788835428518898,0.08696850601874206,0.00011570805265551161,0.0789530137339868,0.0004060440706319321,0.0030012504817301298,0.0016467563354561566,315.25000017647653,5.561294563274609,309.7050298388036,2.1631972832579045,3.388140324590244,2.156830144761349
230.0,0.8722719856813113,22.604534080763038,12.810873553303106,584.863112463845,26.162092549788547,16.65460730742296,2382.1833010378245,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.1507920835925,2425.000000895036,0.00013303015841671848,0.13000000003580145,0.00014978214151811984,0.002343423303496073,0.0,1.0,1.0,0.041,0.03416329356459759,0.03458935859391839,0.08760204947978767,0.07780443250316034,0.08722719856813113,0.00011603848043765043,0.07911586928267063,0.0004068816134537347,0.003007084749700019,0.0017042325382524612,315.25000011635467,5.58246386085124,309.6838292202028,2.1714536816324497,3.401072032409152,2.165098950561244
240.0,0.874861445020858,22.651941221030945,13.233907910766016,584.311403078652,26.2613815085497,16.71809327158401,2382.0205255739775,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.0721136554698,2425.0000003541113,0.00013301442273109396,0.13000000001416445,0.00015036775392678859,0.0023524541067810856,0.0,1.0,1.0,0.041,0.03415896625105084,0.03573155135906825,0.08786159327474732,0.07772184397570245,0.0874861445020858,0.00011636919007914013,0.0792817942736083,0.00040773494197855704,0.0030130348852541026,0.0017603006212269993,315.2500000460345,5.603593967823343,309.6626683583571,2.179694665209625,3.413979596483439,2.1733521255427237
250.0,0.8774533320432055,22.700196213981382,13.646778682704149,583.7691573469378,26.3604881047703,16.781460212120297,2381.8580516638413,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.9935855756665,2424.999999980732,0.0001329987171151333,0.1299999999992293,0.00015095238174791983,0.00236146969546095,0.0,1.0,1.0,0.041,0.03415464720666166,0.036846302443301206,0.08812134469249644,0.07764054901852513,0.08774533320432056,0.00011670016749014543,0.07945068674893484,0.00040860353185166487,0.00301909697472133,0.0018150040575538008,315.24999999749514,5.624685607893823,309.64154671446363,2.187920512695935,3.4268634535998226,2.181589827562705
260.0,0.8800473956863802,22.749270836882445,14.049799150636545,583.2360899824197,26.459415850481857,16.844711436423754,2381.6958722597196,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.9152073656251,2424.9999995466255,0.000132983041473125,0.129999999981865,0.00015153605421396575,0.002370470366274451,0.0,1.0,1.0,0.041,0.03415033640510938,0.037934457706718674,0.08838129575111736,0.07756050914275538,0.08800473956863802,0.00011703137931887755,0.07962244792908856,0.000409486875063884,0.003025267227184491,0.001868385023138176,315.24999994106133,5.645739486669846,309.6204633505715,2.196131515589994,3.4397240600828,2.1898124864296094
270.0,0.882643514772666,22.799137871285396,14.443271669845673,582.7119254976899,26.558167940609984,16.907847271969317,2381.533984325138,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.8369785535937,2424.9999995377175,0.00013296739571071873,0.1299999999815087,0.00015211877374951804,0.0023794564072623803,0.0,1.0,1.0,0.041,0.034146033820447654,0.03899683350858332,0.0886414235559291,0.07748168718300619,0.0882643514772666,0.00011736280950027668,0.0797969825494989,0.00041038448168313714,0.0030315419871944386,0.0019204842194817829,315.24999993990326,5.666756298115555,309.5994179182303,2.204327939070629,3.452561831788203,2.198020145043363
280.0,0.8852414712938376,22.849770652671683,14.827491242243326,582.1963953063696,26.65674762176272,16.970872087299163,2381.3723796685035,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.7588986725785,2424.9999993775655,0.0001329517797345157,0.12999999997510264,0.00015270057915768456,0.0023884280890337215,0.0,1.0,1.0,0.041,0.03414173942699182,0.040034226354056984,0.0889017267467989,0.07740404691100147,0.08852414712938377,0.00011769442910331689,0.07997419728435089,0.0004112958717480903,0.0030379176747982067,0.001971341349654195,315.2499999190835,5.68773668204933,309.57840929761556,2.212510052606306,3.465377190165471,2.206213370926361
290.0,0.8878411308365027,22.90114372291895,15.202740767849544,581.6892416414609,26.75515791585654,17.033786357628774,2381.211055223167,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.6809672630658,2424.9999994966524,0.00013293619345261314,0.1299999999798661,0.00015328147420822034,0.0023973856817167704,0.0,1.0,1.0,0.041,0.03413745319946862,0.041047400073193775,0.08916218448986483,0.07732755355615308,0.08878411308365028,0.00011802622032406814,0.08015400303021632,0.0004122205870125411,0.0030443908722360504,0.0020209944877247754,315.2499999345648,5.7086812889377025,309.5574371310687,2.220678107016093,3.4781705285226647,2.2143922261487843
300.0,0.8904423557557787,22.953232032632318,15.569297139671276,581.1902123414978,26.85340173315206,17.096592900675255,2381.0500050071605,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.6031838695571,2424.999999640988,0.00013292063677391143,0.12999999998563952,0.00015386148376526484,0.00240632943687616,0.0,1.0,1.0,0.041,0.034133175112825646,0.04203710227711245,0.08942278842071219,0.07725217311119668,0.08904423557557788,0.00011835816493751988,0.08033631211421312,0.0004131581765873817,0.003050958217796829,0.002069480889927344,315.2499999533284,5.729590717722858,309.53650061673784,2.228832343851621,3.49094222492414,2.2225570768422678
310.0,0.8930450223190839,23.00601152386397,15.9274266341793,580.6990648628152,26.951481866770116,17.159293641049928,2380.8892242774964,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.5255480431775,2424.9999997853165,0.0001329051096086355,0.12999999999141265,0.00015444062466195507,0.0024152595992442544,0.0,1.0,1.0,0.041,0.034128905142374766,0.04300405191228411,0.08968352631802635,0.07717787286522461,0.08930450223190839,0.00011869024657676419,0.0805210403335239,0.0004141082074295515,0.003057616483236673,0.0021168363825991004,315.24999997209113,5.75046555367343,309.51559913562903,2.2369729949419197,3.5036926424486734,2.2307081731891376
320.0,0.8956490102395354,23.059458781696133,16.277388281193407,580.215563266663,27.04940101577989,17.221890328229062,2380.7287085823605,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.448059339792,2424.9999999263696,0.0001328896118679584,0.1299999999970548,0.0001550189121624911,0.0024241764056471085,0.0,1.0,1.0,0.041,0.03412464326368857,0.0439489483592222,0.08994438543734512,0.07710462100225571,0.08956490102395354,0.00011902244934065294,0.08070810573593647,0.0004150702580705304,0.003064362527384784,0.002163095810911846,315.2499999904281,5.7713063635920685,309.49473210869513,2.2451002843097307,3.5164221319717197,2.238845742619056
330.0,0.8982542082231914,23.113551078364562,16.619433221527093,579.7394788122434,27.147161767966477,17.28438478275414,2380.5684534602306,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.3707173203583,2425.0000000109508,0.00013287414346407165,0.13000000000043804,0.00015559636217865003,0.0024330800830402836,0.0,1.0,1.0,0.041,0.03412038945261971,0.044872469698123155,0.09020535391453163,0.07703238667948416,0.08982542082231915,0.00011935475853065442,0.08089742877427597,0.0004160439194105621,0.0030711933019507607,0.0022082929541687494,315.2500000014236,5.792113690428097,309.47389895087275,2.2532144267412177,3.529131029847534,2.24697002176561
340.0,0.9008605044976743,23.16826646559519,16.953803992216184,579.2705905890224,27.244766620769667,17.346778638616872,2380.4084547708944,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.2935215513314,2425.0000000302807,0.00013285870431026627,0.13000000000121126,0.00015617298894927178,0.0024419708505290997,0.0,1.0,1.0,0.041,0.03411614368532323,0.0457752707789837,0.09046641954269753,0.07696114011070024,0.09008605044976743,0.00011968715939185381,0.08108893262958318,0.00041702879638071344,0.0030781058637339696,0.0022524604315360616,315.2500000039365,5.812888058903541,309.45309912309955,2.2613156295238825,3.541819660733057,2.2550812230412047
350.0,0.9034677680602067,23.223583560571953,17.280736951943165,578.8086833227438,27.34221802837796,17.40907335831814,2380.2487086424667,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,620.2164716033191,2425.0000000291625,0.00013284329432066382,0.13000000000116652,0.0001567488051751075,0.0024508489221662533,0.0,1.0,1.0,0.041,0.03411190593818255,0.04665798977024655,0.09072756953581727,0.07689085227399915,0.09034677680602067,0.00012001963462165527,0.08128254246200184,0.0004180245040902952,0.0030850973461175896,0.0022956300249849567,315.2500000037911,5.833629982064006,309.43233212629724,2.269404096355371,3.55448834372103,2.263179536601666
