Time,C,F,P,m,gamma,nu,sigma,Brain
27.599999999999998,7.680884434648063,38.85150391629319,0.2189829721868608,25.0,1.0,1.0,1.0,1.0
27.75,7.805112135860529,40.65062210144931,0.21240859681061894,25.0,1.0,1.0,1.0,1.0
27.9,7.9297039447911555,42.44673156174236,0.20641209152155535,25.0,1.0,1.0,1.0,1.0
28.05,8.054644606700354,44.238552400009354,0.2009270910096765,25.0,1.0,1.0,1.0,1.0
28.2,8.179917729101586,46.024930108521126,0.1958975305324591,25.0,1.0,1.0,1.0,1.0
28.349999999999998,8.305508157060597,47.804819200047675,0.19127408917272956,25.0,1.0,1.0,1.0,1.0
28.5,8.431401287241448,49.577270147264784,0.187013683540572,25.0,1.0,1.0,1.0,1.0
28.65,8.557579350510478,51.34142302710256,0.18308232805707933,25.0,1.0,1.0,1.0,1.0
28.799999999999997,8.684030684529835,53.096486149579825,0.17944496584306868,25.0,1.0,1.0,1.0,1.0
28.95,8.810739796471248,54.84174178688805,0.17607503955754292,25.0,1.0,1.0,1.0,1.0
29.099999999999998,8.937692266193578,56.57652948801229,0.17294865502557435,25.0,1.0,1.0,1.0,1.0
29.25,9.064876703108416,58.300241315494254,0.17004251967612344,25.0,1.0,1.0,1.0,1.0
29.4,9.192280116506467,60.01231961368667,0.16733798322719456,25.0,1.0,1.0,1.0,1.0
29.549999999999997,9.319890546863002,61.71224914153149,0.16481806233214769,25.0,1.0,1.0,1.0,1.0
29.7,9.447696719421138,63.39955333048906,0.16246750049428174,25.0,1.0,1.0,1.0,1.0
29.849999999999998,9.57568780381052,65.07379103727479,0.16027276643211746,25.0,1.0,1.0,1.0,1.0
30.0,9.703853599037322,66.7345526080128,0.15822161538364496,25.0,1.0,1.0,1.0,1.0
30.15,9.832184194597621,68.38145742050607,0.15630324075577443,25.0,1.0,1.0,1.0,1.0
30.299999999999997,9.960670282696306,70.01415114420557,0.15450780379984985,25.0,1.0,1.0,1.0,1.0
30.45,10.089302817951681,71.6323025594487,0.15282653987823533,25.0,1.0,1.0,1.0,1.0
30.599999999999998,10.218073680729598,73.23560319204671,0.1512511272091631,25.0,1.0,1.0,1.0,1.0
30.75,10.346974122903223,74.82376406586818,0.1497749176426249,25.0,1.0,1.0,1.0,1.0
30.9,10.475997030768164,76.39651364056381,0.14839070373968097,25.0,1.0,1.0,1.0,1.0
31.049999999999997,10.60513477247602,77.95359878109214,0.14709278612963825,25.0,1.0,1.0,1.0,1.0
31.2,10.73438031335294,79.49478034915656,0.14587566307837363,25.0,1.0,1.0,1.0,1.0
31.349999999999998,10.863726896557617,81.0198356625498,0.14473446347411004,25.0,1.0,1.0,1.0,1.0
31.5,10.993168232457341,82.52855137731409,0.1436643791241641,25.0,1.0,1.0,1.0,1.0
31.65,11.122697928187366,84.02072658542573,0.1426613630588347,25.0,1.0,1.0,1.0,1.0
31.799999999999997,11.252310002329976,85.49617225223133,0.14172160698116917,25.0,1.0,1.0,1.0,1.0
31.95,11.381998799798254,86.95471023928886,0.14084156522833613,25.0,1.0,1.0,1.0,1.0
32.1,11.511758828813111,88.39617171060107,0.14001802034145644,25.0,1.0,1.0,1.0,1.0
32.25,11.641584815580716,89.82039572489401,0.1392479561430136,25.0,1.0,1.0,1.0,1.0
32.4,11.771471717380251,91.2272307245368,0.13852861855087995,25.0,1.0,1.0,1.0,1.0
32.55,11.90141464869621,92.61653289251615,0.13785749620562424,25.0,1.0,1.0,1.0,1.0
32.699999999999996,12.03140903972113,93.98816733799784,0.13723222752495276,25.0,1.0,1.0,1.0,1.0
32.85,12.161450260427786,95.34199953174404,0.1366505239839691,25.0,1.0,1.0,1.0,1.0
33.0,12.291533863653212,96.67790764971008,0.13611055548388884,25.0,1.0,1.0,1.0,1.0
33.15,12.421655521175575,97.99577028899132,0.13561039687404178,25.0,1.0,1.0,1.0,1.0
33.3,12.55181120018227,99.29547579273539,0.13514831959071616,25.0,1.0,1.0,1.0,1.0
33.449999999999996,12.681996930722661,100.57691558793287,0.13472268433793277,25.0,1.0,1.0,1.0,1.0
33.6,12.81220896541378,101.83998724282925,0.13433193607245436,25.0,1.0,1.0,1.0,1.0
33.75,12.942443472822216,103.08459189271788,0.13397476538904732,25.0,1.0,1.0,1.0,1.0
33.9,13.072696734130561,104.31063557900733,0.133649990150532,25.0,1.0,1.0,1.0,1.0
34.05,13.202965388234116,105.5180268941163,0.13335620193979233,25.0,1.0,1.0,1.0,1.0
34.199999999999996,13.333246090141097,106.70667933273239,0.13309221120143672,25.0,1.0,1.0,1.0,1.0
34.35,13.463535378370084,107.87650892340342,0.13285704860147798,25.0,1.0,1.0,1.0,1.0
34.5,13.59382999185042,109.02743578056851,0.13264974646533598,25.0,1.0,1.0,1.0,1.0
34.65,13.724126553912457,110.15938215623987,0.1324695318569103,25.0,1.0,1.0,1.0,1.0
34.8,13.854421913339444,111.27227397756536,0.13231558984342268,25.0,1.0,1.0,1.0,1.0
34.949999999999996,13.98471331556435,112.36603910618469,0.1321868076766768,25.0,1.0,1.0,1.0,1.0
35.1,14.114997703583722,113.44060870212772,0.13208250760151583,25.0,1.0,1.0,1.0,1.0
35.25,14.245271811214945,114.49591616350074,0.13200230311409286,25.0,1.0,1.0,1.0,1.0
35.4,14.375532905288196,115.5318971943274,0.13194540177508496,25.0,1.0,1.0,1.0,1.0
35.55,14.505778430673002,116.54848947734159,0.13191092349545033,25.0,1.0,1.0,1.0,1.0
35.699999999999996,14.636005316680139,117.54563300742494,0.1318985723046356,25.0,1.0,1.0,1.0,1.0
35.85,14.766210529830541,118.52326985616527,0.13190810249473076,25.0,1.0,1.0,1.0,1.0
36.0,14.896391804804137,119.48134339561317,0.13193858764928237,25.0,1.0,1.0,1.0,1.0
36.15,15.02654659964691,120.41979899647482,0.13198944486246253,25.0,1.0,1.0,1.0,1.0
36.3,15.156671744629252,121.33858421710518,0.1320607768317889,25.0,1.0,1.0,1.0,1.0
36.449999999999996,15.286764908240436,122.23764733211215,0.13215190632391713,25.0,1.0,1.0,1.0,1.0
36.6,15.416823428795519,123.11693845001457,0.13226254211150293,25.0,1.0,1.0,1.0,1.0
36.75,15.546844763965103,123.97640903488612,0.1323923278242708,25.0,1.0,1.0,1.0,1.0
36.9,15.67682637813451,124.81601186288816,0.13254094662960206,25.0,1.0,1.0,1.0,1.0
37.05,15.80676570554761,125.63570093508298,0.13270815140104303,25.0,1.0,1.0,1.0,1.0
37.199999999999996,15.936660258971402,126.43543174471067,0.1328936758250833,25.0,1.0,1.0,1.0,1.0
37.35,16.066507506862216,127.21516026880951,0.13309729761976305,25.0,1.0,1.0,1.0,1.0
37.5,16.19630500511695,127.97484445473061,0.1333187921264571,25.0,1.0,1.0,1.0,1.0
37.65,16.326050253403885,128.71444248250995,0.13355797659561008,25.0,1.0,1.0,1.0,1.0
37.8,16.45574078699757,129.43391388764553,0.133814682581301,25.0,1.0,1.0,1.0,1.0
37.949999999999996,16.58537415064144,130.13321912977804,0.1340887576804725,25.0,1.0,1.0,1.0,1.0
38.1,16.71494786251466,130.81231907591064,0.1343800721870143,25.0,1.0,1.0,1.0,1.0
38.25,16.844459466358206,131.4711758554341,0.13468851494523293,25.0,1.0,1.0,1.0,1.0
38.4,16.97390640425218,132.1097503776757,0.1350139777689921,25.0,1.0,1.0,1.0,1.0
38.55,17.1032862346854,132.728006738645,0.13535639259108712,25.0,1.0,1.0,1.0,1.0
38.699999999999996,17.23259649474902,133.32590942062507,0.13571570691141507,25.0,1.0,1.0,1.0,1.0
38.85,17.361834730977797,133.9034239189077,0.13609188929170649,25.0,1.0,1.0,1.0,1.0
39.0,17.490998499350038,134.4605167417932,0.13648492935552528,25.0,1.0,1.0,1.0,1.0
39.15,17.62008521947888,134.99715166087302,0.13689476632953965,25.0,1.0,1.0,1.0,1.0
39.3,17.749092368890334,135.51329470721646,0.13732138425633483,25.0,1.0,1.0,1.0,1.0
39.449999999999996,17.878017496239938,136.00891451125912,0.13776481847170008,25.0,1.0,1.0,1.0,1.0
39.6,18.00685810017916,136.48397918764894,0.13822509623883716,25.0,1.0,1.0,1.0,1.0
39.75,18.135611439809395,136.93845383583465,0.1387022694658149,25.0,1.0,1.0,1.0,1.0
39.9,18.264274985296797,137.3723075904125,0.1391963955452694,25.0,1.0,1.0,1.0,1.0
40.05,18.392846148106408,137.78550940035328,0.13970754882494302,25.0,1.0,1.0,1.0,1.0
40.199999999999996,18.521322292353904,138.1780282008511,0.14023581849761851,25.0,1.0,1.0,1.0,1.0
40.35,18.649700641397445,138.54983140898864,0.14078130046493867,25.0,1.0,1.0,1.0,1.0
40.5,18.777978546900435,138.90088923920788,0.14134411575293498,25.0,1.0,1.0,1.0,1.0
40.65,18.906153283856092,139.23117141572945,0.14192439648284277,25.0,1.0,1.0,1.0,1.0
40.8,19.03422206398181,139.5406474667557,0.1425222880459915,25.0,1.0,1.0,1.0,1.0
40.949999999999996,19.16218201484751,139.82928643213955,0.14313794834779955,25.0,1.0,1.0,1.0,1.0
41.1,19.29003033534944,140.09705904097132,0.14377155343928785,25.0,1.0,1.0,1.0,1.0
41.25,19.417764154750678,140.34393573728136,0.1444232924112986,25.0,1.0,1.0,1.0,1.0
41.4,19.545380423065883,140.56988530015767,0.145093364675089,25.0,1.0,1.0,1.0,1.0
41.55,19.672876110881475,140.7748774333881,0.14578198551711113,25.0,1.0,1.0,1.0,1.0
41.699999999999996,19.800248272003813,140.9588835773719,0.146489387840561,25.0,1.0,1.0,1.0,1.0
41.85,19.927493865591494,141.12187460397888,0.14721581722085422,25.0,1.0,1.0,1.0,1.0
42.0,20.05460981871817,141.2638216273552,0.14796153364480352,25.0,1.0,1.0,1.0,1.0
42.15,20.181593026372596,141.38469600392347,0.14872681151061884,25.0,1.0,1.0,1.0,1.0
42.3,20.30843967346134,141.48446178568432,0.1495119925130817,25.0,1.0,1.0,1.0,1.0
