Time,C,I,U,V,r,K,beta,alpha,delta_u,K_c,delta,delta_i,b,gamma,mu,psi,compartment,Tumor_Growth,Tumor_Cell_Infection,Uninfected_Tumor_Lysis_Drug,Infected_Tumor_Lysis_Drug,Infected_Tumor_Death,Virus_Production,Virus_Decay,Drug_Injection,Drug_Decay
139.0,48.6810551558753,2.0511757767328713e-06,69.1813188831732,3.427608229149433e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.75838802242889,2.4229454287917447e-06,13.406016498374017,5.962179548148432e-07,2.0511757767328713e-06,2.0511757767328713e-06,3.427608229149433e-09,203.0,203.0
139.5,48.6810551558753,1.941966106347344e-06,69.35741345269463,3.245050729212472e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.792150724894702,2.293938969349985e-06,13.440140258117088,5.644738366062251e-07,1.941966106347344e-06,1.941966106347344e-06,3.2450507292124718e-09,203.0,203.0
140.0,48.6810551558753,1.8385699549476072e-06,69.5333260540202,3.072214977057017e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.825872160450572,2.171800034080781e-06,13.47422875590397,5.344195415903839e-07,1.8385699549476072e-06,1.8385699549476072e-06,3.072214977057017e-09,203.0,203.0
140.5,48.6810551558753,1.7406774055497443e-06,69.70905368787741,2.9085824872766203e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.85955177410051,2.056162505602533e-06,13.508281410533007,5.059649857908952e-07,1.7406774055497443e-06,1.7406774055497443e-06,2.9085824872766204e-09,203.0,203.0
141.0,48.6810551558753,1.647996069427617e-06,69.88459336834939,2.753664115085449e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.893189013820777,1.9466809775730515e-06,13.542297643390617,4.790251801930262e-07,1.647996069427617e-06,1.647996069427617e-06,2.753664115085449e-09,203.0,203.0
141.5,48.6810551558753,1.5602482480037661e-06,70.05994212309747,2.6069952978752387e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.926783330599003,1.843027392975864e-06,13.576276878494415,4.53519405786838e-07,1.5602482480037661e-06,1.5602482480037661e-06,2.606995297875239e-09,203.0,203.0
142.0,48.6810551558753,1.477171549005226e-06,70.23509699350804,2.4681370949391188e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.960334178458668,1.7448917811242427e-06,13.610218542521663,4.293713926660061e-07,1.477171549005226e-06,1.477171549005226e-06,2.4681370949391188e-09,203.0,203.0
142.5,48.6810551558753,1.398517371898821e-06,70.41005503489014,2.3366736479924916e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.993841014493315,1.6519804642866759e-06,13.644122064847574,4.0650887978730973e-07,1.398517371898821e-06,1.398517371898821e-06,2.3366736479924917e-09,203.0,203.0
143.0,48.6810551558753,1.3240502363650196e-06,70.58481331664912,2.2122110552171515e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.0273032988961,1.5640152634401179e-06,13.677986877578952,3.84863419777246e-07,1.3240502363650196e-06,1.3240502363650196e-06,2.2122110552171515e-09,203.0,203.0
143.5,48.6810551558753,1.2535474980625395e-06,70.7593689224511,2.0943768974052563e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.060720494987539,1.4807331649473868e-06,13.711812415586069,3.6437029631295447e-07,1.2535474980625395e-06,1.2535474980625395e-06,2.0943768974052562e-09,203.0,203.0
144.0,48.6810551558753,1.1867979105677173e-06,70.93371895042036,1.982817829220981e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.094092069249507,1.4018846191778963e-06,13.7455981165409,3.4496810611924674e-07,1.1867979105677173e-06,1.1867979105677173e-06,1.9828178292209808e-09,203.0,203.0
144.5,48.6810551558753,1.1236020079521244e-06,71.10786051327638,1.8772002177184237e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.127417491347666,1.327233993422414e-06,13.779343420943707,3.2659887017294407e-07,1.1236020079521244e-06,1.1236020079521244e-06,1.877200217718424e-09,203.0,203.0
145.0,48.6810551558753,1.0637703441591696e-06,71.28179073854851,1.777207197237909e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.16069623416866,1.2565574910637064e-06,13.813047772164614,3.0920752194016386e-07,1.0637703441591696e-06,1.0637703441591696e-06,1.777207197237909e-09,203.0,203.0
145.5,48.6810551558753,1.007124169074745e-06,71.45550676869217,1.6825398008817689e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.193927773838462,1.1896439528662015e-06,13.846710616466135,2.9274210389066157e-07,1.007124169074745e-06,1.007124169074745e-06,1.682539800881769e-09,203.0,203.0
146.0,48.6810551558753,9.534936386515971e-07,71.62900576131322,1.592913961890326e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.227111589761362,1.1262927380785386e-06,13.880331403046641,2.771532472323331e-07,9.534936386515971e-07,9.534936386515971e-07,1.592913961890326e-09,203.0,203.0
146.5,48.6810551558753,9.027185059303028e-07,71.80228488927229,1.5080616747076089e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.260247164635931,1.0663145465185261e-06,13.91390958406059,2.6239437277118796e-07,9.027185059303028e-07,9.027185059303028e-07,1.508061674707609e-09,203.0,203.0
147.0,48.6810551558753,8.546465944124158e-07,71.97534134090482,1.4277284353985494e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.293333984493108,1.0095296098953595e-06,13.947444614661174,2.484212471647191e-07,8.546465944124158e-07,8.546465944124158e-07,1.4277284353985494e-09,203.0,203.0
147.5,48.6810551558753,8.091340993008705e-07,72.14817232013738,1.3516737480289202e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.32637153871438,9.557680508736916e-07,13.980935953022827,2.3519207048384607e-07,8.091340993008705e-07,8.091340993008705e-07,1.3516737480289203e-09,203.0,203.0
148.0,48.6810551558753,7.660447903005298e-07,72.32077504667032,1.2796697897821013e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.359359320062625,9.048689401782034e-07,14.014383060376655,2.2266724448990414e-07,7.660447903005298e-07,7.660447903005298e-07,1.2796697897821013e-09,203.0,203.0
148.5,48.6810551558753,7.252496166446489e-07,72.49314675613229,1.2115007493073756e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.392296824707529,8.566798296459109e-07,14.047785401040361,2.1080925782716804e-07,7.252496166446489e-07,7.252496166446489e-07,1.2115007493073757e-09,203.0,203.0
149.0,48.6810551558753,6.866265725575644e-07,72.66528470021862,1.1469626013908949e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.425183552247887,8.110565937561022e-07,14.081142442445058,1.995826469167156e-07,6.866265725575644e-07,6.866265725575644e-07,1.1469626013908948e-09,203.0,203.0
149.5,48.6810551558753,6.500598926267271e-07,72.83718614687653,1.0858617607017594e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.458019005742807,7.678624784730209e-07,14.114453655171168,1.8895376207416022e-07,6.500598926267271e-07,6.500598926267271e-07,1.0858617607017596e-09,203.0,203.0
150.0,48.6810551558753,6.154402728758312e-07,73.00884838040989,1.0280154517049404e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.49080269172751,7.269683635822259e-07,14.147718512968718,1.7889083176926765e-07,6.154402728758312e-07,6.154402728758312e-07,1.0280154517049404e-09,203.0,203.0
