Time,Normal_cells,Tumor_cells,Vitamins,r,beta1,gamma,alpha1,alpha2,beta2,k1,k2,c1,c2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth,Tumor_cell_inhibition,Vitamin_intake,Vitamin_decay
17.669999999999998,0.2615740401215263,0.40637343248410185,0.9339300471569211,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.16690128390715342,0.1043515101811664,0.1749771910055728,0.18881336858419057,0.8976,0.8976001683225168
17.7,0.26345887639086085,0.40596163023568266,0.9339300421802618,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.16810393134772847,0.10499693319193266,0.17500477380919083,0.18862203181866552,0.8976,0.8976001635394495
17.73,0.26536049065793144,0.4055564020152653,0.9339300373437527,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1693172842333139,0.10564922460957937,0.17503586509824126,0.18843374957535958,0.8976,0.8976001588910807
17.759999999999998,0.26727898681157286,0.4051577589354527,0.933930032609419,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.17054140884934782,0.10630844546499506,0.17507048526957553,0.18824852700973688,0.8976,0.8976001543409126
17.79,0.2692144882921156,0.4047657175767025,0.933930028000897,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1717763839599969,0.1069746665773014,0.17510865860101738,0.18806637183023092,0.8976,0.897600149911662
17.82,0.2711671106789449,0.4043802929371254,0.9339300235164409,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1730222833121489,0.1076479558188475,0.175150408171907,0.18788729100494653,0.8976,0.8976001456016514
17.849999999999998,0.27313696963653195,0.40400150048256195,0.9339300191541894,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.17427918070696963,0.1083283818264802,0.1751957573418566,0.18771129171929016,0.8976,0.8976001414090914
17.88,0.27512418101607744,0.4036293561777338,0.9339300149125269,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.17554715006477986,0.10901601406468588,0.17524472977477756,0.18753838139051676,0.8976,0.8976001373324296
17.91,0.2771288608429588,0.4032638764880054,0.9339300107900825,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1768262654170463,0.10971092283583923,0.1752973494417596,0.18736856766854745,0.8976,0.8976001333703483
17.939999999999998,0.2791511253041797,0.40290507838114464,0.9339300067857287,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.17811660089837383,0.11041317929068341,0.17535364062398645,0.18720185843678722,0.8976,0.8976001295217638
17.97,0.28119109073581966,0.4025529793290844,0.9339300028985803,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.17941823073849802,0.11112285543904117,0.1754136279156882,0.18703826181294286,0.8976,0.8976001257858255
18.0,0.2832488736104815,0.4022075973096837,0.9339299991279933,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1807312292542762,0.11184002416075756,0.17547733622713,0.18687778614984082,0.8976,0.8976001221619143
18.029999999999998,0.2853245905247407,0.4018689508084888,0.9339299954735637,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.18205567084167962,0.11256475921687631,0.1755447907876375,0.186720440036245,0.8976,0.8976001186496421
18.06,0.28741835818659495,0.4015370588204942,0.9339299919351259,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.18339162996778616,0.11329713526105076,0.17561601714865918,0.18656623229767447,0.8976,0.8976001152488495
18.09,0.2895302934029116,0.40121194085190426,0.9339299885127524,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.18473918116277108,0.11403722785118911,0.175691041186865,0.18641517199722152,0.8976,0.8976001119596063
18.12,0.29166050192099185,0.4008936139145783,0.9339299851681715,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.18609839189761093,0.11478510821372842,0.17576988697848986,0.18626726703138524,0.8976,0.8976001087451296
18.15,0.2938091030493673,0.4005820991742137,0.9339299819100321,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.18746933829920334,0.11554085484522349,0.1758525815044803,0.1861225272360399,0.8976,0.8976001056137318
18.18,0.29597621651076006,0.40027741840823794,0.9339299787484393,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.18885209675883474,0.11630454735101521,0.1759391521487381,0.1859809627315742,0.8976,0.897600102575125
18.21,0.2981619584182045,0.39997959292525825,0.9339299756810677,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.19024674136377212,0.11707626456671463,0.1760296259343221,0.1858425834180709,0.8976,0.8976000996270741
18.24,0.30036644483863023,0.3996886445317137,0.9339299727055395,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1916533461718536,0.11785608625359525,0.17612403020937173,0.18570739942691317,0.8976,0.8976000967672939
18.27,0.3025897917772653,0.39940459553281393,0.9339299698194117,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.19307198520153512,0.11864409310998907,0.17622239264978148,0.1855754211212184,0.8976,0.8976000939934365
18.3,0.3048321151620371,0.39912746873347893,0.9339299670201655,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1945027324219366,0.11944036678290292,0.1763247412619079,0.18544665909627228,0.8976,0.897600091303081
