Time,AR_Central,AR_A1,AR_A2,AR_Dose,F1,F2,Lag_time_1,Lag_time_2,k_a_1,k_a_2,base,CL_V,compartment,A1,A2,Central,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
9.05,1.413818531283903,56.37147150761031,6.057825067740124,214.68007341620887,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.16336381764286,10.304643523978026,16.911441452283093,10.904085121932223,0.32,28.27637062567806
9.075000000000001,1.410301623150659,56.22795941000578,6.042854071099786,214.1440435493129,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.13549026456427,10.278914090367019,16.868387823001733,10.877137327979614,0.32,28.20603246301318
9.1,1.4067931396104665,56.08482626282262,6.027913676088084,213.60935208336238,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.107686308334843,10.253248900001395,16.825447878846784,10.850244616958552,0.32,28.13586279220933
9.125,1.403293089394122,55.94207096576605,6.013004131842088,213.0759956765151,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.079951775178785,10.227647792472725,16.782621289729814,10.823407437315758,0.32,28.06586178788244
9.15,1.3998014698962316,55.7996924226269,5.998125568909478,212.54397099535558,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.05228649175849,10.202110607777067,16.73990772678807,10.79662602403706,0.32,27.99602939792463
9.175,1.3963182799638099,55.65768954102533,5.98327813266947,212.0132747147693,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.024690285168003,10.176637186308927,16.6973068623076,10.769900638805048,0.32,27.926365599276195
9.200000000000001,1.3928435296493302,55.51606123221131,5.968462085075077,211.48390351784187,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.997162982927776,10.151227368856409,16.654818369663392,10.74323175313514,0.32,27.856870592986603
9.225,1.389377221352029,55.37480641139882,5.953677607807062,210.9558540959938,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.969704412991677,10.125880996607703,16.612441923419645,10.716619694052712,0.32,27.78754442704058
9.25,1.3859193567140555,55.23392399761956,5.938924874202,210.4291231489029,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.94231440374295,10.10059791114734,16.57017719928587,10.6900647735636,0.32,27.71838713428111
9.275,1.3824699367152675,55.09341291370359,5.924204050202316,209.90370738448337,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.914992783993135,10.075377954455202,16.528023874111074,10.663567290364169,0.32,27.64939873430535
9.3,1.3790289617680254,54.95327208625996,5.909515295306314,209.37960351886417,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.887739382980936,10.05022096890548,16.485981625877987,10.637127531551366,0.32,27.580579235360506
9.325000000000001,1.3755964152545606,54.813500446043044,5.894858600479893,208.85680827654292,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.860554030380232,10.02512679727406,16.44405013381291,10.610745480863807,0.32,27.51192830509121
9.35,1.3721723016406038,54.674096927047465,5.880234163471914,208.33531838996268,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.833436556278059,10.00009528271821,16.40222907811424,10.584421494249446,0.32,27.443446032812076
9.375,1.3687566174902224,54.53506046716613,5.865642103418574,207.81513059979775,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.806386791189484,9.975126268790293,16.36051814014984,10.558155786153435,0.32,27.375132349804446
9.4,1.3653493580266984,54.39639000802029,5.851082525463913,207.2962416548645,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.779404566052953,9.950219599433497,16.318917002406085,10.531948545835045,0.32,27.306987160533968
9.425,1.3619505178195606,54.25808449492628,5.836555527541517,206.77864831209337,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.752489712228854,9.925375118980481,16.277425348477884,10.505799949574731,0.32,27.239010356391212
9.450000000000001,1.3585600908446243,54.12014287687702,5.822061200982317,206.26234733650818,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.725642061498425,9.900592672152394,16.236042863063105,10.479710161768171,0.32,27.171201816892484
9.475,1.3551780683046404,53.98256410663459,5.807599609848405,205.74733550125785,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.698861446065408,9.875872104060377,16.194769231990378,10.45367929772713,0.32,27.10356136609281
9.5,1.3518044387387762,53.84534714070923,5.793170792010527,205.23360958759432,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.672147698554904,9.851213260204528,16.153604142212767,10.42770742561895,0.32,27.036088774775525
9.525,1.3484391962274613,53.70849093893632,5.778774837130738,204.72116638465957,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.645500652002298,9.82661598646366,16.112547281680897,10.401794706835329,0.32,26.96878392454923
9.55,1.3450823314917912,53.57199446490278,5.7644118021450454,204.210002689676,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.618920139863151,9.802080129104448,16.07159833947083,10.375941243861082,0.32,26.901646629835824
9.575000000000001,1.341733834734584,53.43585668579037,5.750081738290603,203.70011530785976,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.592405996008708,9.777605534777269,16.03075700573711,10.350147128923085,0.32,26.83467669469168
9.600000000000001,1.3383936956859512,53.300076572357845,5.735784691576062,203.19150105240038,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.565958054724819,9.753192050515219,15.990022971707353,10.324412444836911,0.32,26.767873913719026
9.625,1.3350619036488691,53.16465309892315,5.721520703251922,202.68415674443995,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.539576150710877,9.728839523733118,15.949395929676943,10.298737265853461,0.32,26.701238072977382
9.65,1.331738443383301,53.02958524383641,5.707289764301299,202.17807921329612,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.513260119091397,9.704547802238213,15.908875573150922,10.273121575742339,0.32,26.634768867666022
9.675,1.3284233039825086,52.89487198842037,5.693091913480577,201.67326529592475,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.487009795388087,9.680316734204387,15.86846159652611,10.247565444265039,0.32,26.56846607965017
9.700000000000001,1.3251164740458559,52.7605123175274,5.678927183950874,201.16971183718442,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.46082501553359,9.656146168184852,15.82815369525822,10.222068931111574,0.32,26.50232948091712
9.725000000000001,1.3218179410096118,52.626505219605896,5.664795595850942,200.66741568985765,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.434705615872597,9.632035953113167,15.787951565881768,10.196632072531695,0.32,26.436358820192236
9.75,1.318527692080031,52.49284968657779,5.650697166573577,200.16637371457847,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.408651433158079,9.607985938299766,15.747854905973337,10.171254899832439,0.32,26.37055384160062
9.775,1.3152457142817409,52.35954471382033,5.636631911267076,199.66658277981134,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.38266230455019,9.583995973430945,15.707863414146097,10.145937440280738,0.32,26.304914285634815
9.8,1.3119719945061283,52.22658930014791,5.6225998433367055,199.16803976183078,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.3567380676152,9.560065908567879,15.66797679004437,10.12067971800607,0.32,26.23943989012257
9.825000000000001,1.3087065195597258,52.09398244779387,5.608600974946161,198.67074154470035,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.330878560324418,9.536195594145617,15.62819473433816,10.09548175490309,0.32,26.174130391194517
9.850000000000001,1.305449276212599,51.96172316239234,5.59463531751903,198.1746850202519,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.305083621053098,9.51238488097209,15.5885169487177,10.070343571534254,0.32,26.10898552425198
9.875,1.302200251246733,51.82981045296004,5.580702882240255,197.67986708806498,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.279353088579379,9.48863362022712,15.548943135888011,10.04526518803246,0.32,26.04400502493466
9.9,1.2989594181777546,51.69824333305659,5.566803537675578,197.18628465603567,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.253686802113855,9.464941663489713,15.509472999916976,10.020246367816041,0.32,25.979188363555092
9.925,1.2957267573819757,51.56702081899075,5.552937225546604,196.69393463946733,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,10.2280846012523,9.441308862694433,15.470106245697224,9.995287005983887,0.32,25.914535147639516
