Time,x,y,z,t,tau,R,Dx,Dy,Dz,p,mu,compartment,Formation_of_tumor_system,Removal_of_tumor_system,Formation_of_effector_cell_against_tumor_cell,Removal_of_effector_cell_functioning_against_tumor_cell,Formation_of_tumor_detecting_cell,Removal_of_tumor_detecting_cell
112.0,0.7225944980309623,1.2212153771884622,0.051205798286468464,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4028870118801813,1.4045863210518075,0.06253330826864589,0.061060768859423104,0.8136414047828635,0.8137625463685568
114.0,0.7195081593114212,1.2238859117005365,0.05098576364999473,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.39689139724085,1.398287890850543,0.06240075782852187,0.06119429558502682,0.8101661873846602,0.8102657559257161
116.0,0.7169741010497948,1.2260724560919876,0.05080509103504314,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.391968627160709,1.393114058604628,0.06229072274731236,0.061303622804599375,0.8073128377820689,0.8073945067289056
118.0,0.7148970850363431,1.227860525375628,0.050656997379345856,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3879337074891422,1.3888717526156897,0.06219972741615542,0.061393026268781396,0.8049741177509222,0.8050410023525643
120.0,0.7131970726445732,1.2293212668771119,0.05053577973320723,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3846311616543698,1.385398393305263,0.062124708764248984,0.061466063343855584,0.8030599037977894,0.8031146115201292
122.0,0.7118072918079175,1.2305135410207153,0.050436679430926355,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3819312809266688,1.382558131837848,0.06206301700387586,0.06152567705103576,0.801495010575715,0.8015397095162816
124.0,0.710672322101631,1.2314859088024903,0.050355746470346824,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.379726406897698,1.3802380998454276,0.062012392205462855,0.06157429544012451,0.8002170346864365,0.8002535229067517
126.0,0.7097462049786247,1.2322784668783942,0.050289704897706435,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3779272606733746,1.378344640825378,0.061970920451112556,0.0616139233439197,0.7991742268059314,0.7992039902343506
128.0,0.7089910048972635,1.2329241752182452,0.05023585041780592,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.376460148201027,1.3768003949753451,0.061936994442760504,0.06164620876091225,0.7983238715143186,0.7983481348397716
130.0,0.7083754400492233,1.2334501075225448,0.05019195287075353,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3752643005431995,1.375541526759975,0.06190926966519744,0.061672505376127236,0.7976307454954253,0.7976505150220151
132.0,0.7078738767749684,1.233878374441308,0.0501561846208246,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.374289920617496,1.3745156938049878,0.06188663154812119,0.061693918722065394,0.7970659852486143,0.7970820859941445
134.0,0.7074653211580286,1.2342270650887983,0.05012704872758009,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.373496224410528,1.3736800276262104,0.06186816023260435,0.06171135325443991,0.7966059516239401,0.7966190583787027
136.0,0.7071328276046257,1.2345107267457944,0.05010333693616923,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3728502924886279,1.3729998967881083,0.06185310689345968,0.061725536337289715,0.7962315638828085,0.7962422305896014
138.0,0.7068624195203123,1.2347413313837088,0.05008405272842581,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3723249732701086,1.37244672511373,0.06184084994698836,0.061737066569185435,0.7959270843798715,0.7959357659601429
140.0,0.7066424894548259,1.2349288135666157,0.050068368231276514,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3718977168384205,1.3719967790211216,0.06183087057706674,0.06174644067833078,0.7956794431261339,0.7956865079314464
142.0,0.7064636309629312,1.2350812349693685,0.05005561266786502,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3715502495064755,1.37163083566397,0.06182274791097509,0.06175406174846842,0.7954780484642604,0.7954837965177108
144.0,0.7063180902484663,1.2352052454686202,0.05004523312121149,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3712675081752264,1.3713330546565243,0.061816134462020354,0.061760262273431,0.795314169619773,0.795318844762293
146.0,0.7061996601626487,1.2353061638799514,0.0500367870567105,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3710374346291296,1.3710907531426875,0.06181075147190305,0.061765308193997566,0.7951808173431424,0.7951846199052431
148.0,0.7061033115813198,1.2353882680372028,0.05002991581454267,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3708502588178486,1.3708936337758864,0.061806371048174935,0.06176941340186014,0.795072328840566,0.795075422124712
150.0,0.7060249485154844,1.2354550391415569,0.050024327245608444,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.370698023385578,1.3707333083294058,0.06180280717525323,0.061772751957077834,0.7949840920284353,0.7949866085872094
152.0,0.7059613415354381,1.2355092301405437,0.050019791057628854,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3705744545912728,1.37060316933195,0.06179991354140188,0.06177546150702718,0.7949124705689032,0.7949145194878378
154.0,0.7059097835201383,1.235553154894205,0.05001611415568087,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3704742932382108,1.3704976825684407,0.0617975676406002,0.06177765774471024,0.7948544162436757,0.7948560861620804
156.0,0.7058678749470073,1.2355888489035742,0.0500131252588956,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.370392877364154,1.3704119319659889,0.06179565986870909,0.0617794424451787,0.7948072271903301,0.7948085866143688
158.0,0.7058343531846797,1.2356174169154581,0.05001073469432833,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3703277550823365,1.3703433543878822,0.061794134821050256,0.0617808708457729,0.7947694816859493,0.7947705957622658
160.0,0.7058069648230654,1.235640744116122,0.050008781411067856,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3702745477629337,1.3702873148090617,0.06179288787511237,0.06178203720580609,0.7947386423907715,0.7947395541846903
162.0,0.7057843227059958,1.2356600092179182,0.05000716648416089,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.37023056059184,1.370240972878314,0.061791855798780215,0.0617830004608959,0.7947131473669512,0.7947138897662849
164.0,0.7057656794078647,1.235675870782842,0.05000583685296534,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.370194342213543,1.3702028147010021,0.06179100599751267,0.06178379353914209,0.7946921550132556,0.7946927592673252
166.0,0.7057502191564184,1.2356890225969668,0.050004734221901034,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3701643075112095,1.3701711703463224,0.06179030115588199,0.06178445112984833,0.7946747467701271,0.7946752362544512
168.0,0.7057376574048247,1.235699725902418,0.05000383832654939,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3701399037751136,1.3701454708934064,0.0617897293141859,0.0617849862951209,0.7946606022378326,0.7946609986855229
170.0,0.70572743793768,1.2357084466013541,0.0500031095117862,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3701200504822413,1.370124572716006,0.061789264780046725,0.0617854223300677,0.7946490951178276,0.7946494163613063
172.0,0.705719276724992,1.2357154217243305,0.05000252750620902,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3701041958072369,1.370107891198459,0.06178889436461751,0.061785771086216516,0.7946399055923409,0.7946401671286737
174.0,0.7057127385050164,1.2357209972616028,0.05000206128898721,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700914942257039,1.370094518293885,0.06178859704116306,0.06178604986308013,0.7946325435566484,0.7946327580045847
176.0,0.7057075633435757,1.23572539424013,0.050001692288538575,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.3700814406722805,1.3700839218913083,0.061788360915928,0.0617862697120065,0.7946267163248661,0.7946268938494551
