Time,aRel,a,b,k1,k2,k3,k4,Brain,Loss_of_intracellular_choline,Abeta_formation_from_APP,Effect_of_extracellular_ACh,Decrease_in_the_extracellular_concentration_of_beta_amyloid
33.15,0.7606706817939383,38.033534089696914,2.5038067460620916,0.007,0.28,0.0042,0.01,1.0,0.6666003346125596,0.28,0.15974084317672704,0.025038067460620917
33.3,0.7586678341220434,37.93339170610217,2.518110624258225,0.007,0.28,0.0042,0.01,1.0,0.668643336684993,0.28,0.15932024516562912,0.02518110624258225
33.449999999999996,0.7566588821495713,37.83294410747857,2.5324561824998466,0.007,0.28,0.0042,0.01,1.0,0.6706719124500867,0.28,0.15889836525140996,0.025324561824998468
33.6,0.7546438659761706,37.73219329880853,2.546843567056928,0.007,0.28,0.0042,0.01,1.0,0.6726859564181333,0.28,0.15847521185499583,0.02546843567056928
33.75,0.7526228292450972,37.63114146225486,2.5612729061747523,0.007,0.28,0.0042,0.01,1.0,0.6746853613899192,0.28,0.1580507941414704,0.025612729061747525
33.9,0.7505958159057107,37.529790795285535,2.5757443266639286,0.007,0.28,0.0042,0.01,1.0,0.6766700200528859,0.28,0.15762512134019924,0.025757443266639285
34.05,0.7485628702134748,37.42814351067374,2.590257953900389,0.007,0.28,0.0042,0.01,1.0,0.6786398249977352,0.28,0.1571982027448297,0.025902579539003892
34.199999999999996,0.7465240367299569,37.326201836497845,2.604813911825392,0.007,0.28,0.0042,0.01,1.0,0.6805946687351846,0.28,0.15677004771329095,0.026048139118253922
34.35,0.7444793603228284,37.22396801614142,2.6194123229455193,0.007,0.28,0.0042,0.01,1.0,0.682534443712875,0.28,0.15634066566779395,0.026194123229455194
34.5,0.7424288861658649,37.12144430829324,2.634053308332676,0.007,0.28,0.0042,0.01,1.0,0.684459042332429,0.28,0.1559100660948316,0.02634053308332676
34.65,0.7403726597389452,37.01863298694726,2.648736987624094,0.007,0.28,0.0042,0.01,1.0,0.6863683569666602,0.28,0.1554782585451785,0.02648736987624094
34.8,0.738310726828053,36.91553634140265,2.6634634790223277,0.007,0.28,0.0042,0.01,1.0,0.6882622799769322,0.28,0.15504525263389113,0.026634634790223276
34.949999999999996,0.7362431335252748,36.81215667626374,2.6782328992952573,0.007,0.28,0.0042,0.01,1.0,0.6901407037306678,0.28,0.1546110580403077,0.026782328992952575
35.1,0.7341699262288021,36.7084963114401,2.693045363776088,0.007,0.28,0.0042,0.01,1.0,0.6920035206190077,0.28,0.15417568450804842,0.026930453637760882
35.25,0.7320911516429293,36.60455758214646,2.7079009863633465,0.007,0.28,0.0042,0.01,1.0,0.6938506230746183,0.28,0.15373914184501514,0.027079009863633464
35.4,0.7300068567780555,36.500342838902775,2.722799879520887,0.007,0.28,0.0042,0.01,1.0,0.6956819035896489,0.28,0.15330143992339165,0.02722799879520887
35.55,0.7279170957598743,36.39585478799371,2.7377420927408416,0.007,0.28,0.0042,0.01,1.0,0.6974972455806159,0.28,0.1528625901095736,0.027377420927408417
35.699999999999996,0.7258219171686869,36.291095858434346,2.7527277269626906,0.007,0.28,0.0042,0.01,1.0,0.6992965406796118,0.28,0.15242260260542426,0.027527277269626907
35.85,0.7237213644000198,36.18606822000099,2.767756931314234,0.007,0.28,0.0042,0.01,1.0,0.7010796879304223,0.28,0.15198148652400414,0.02767756931314234
36.0,0.7216154860106316,36.08077430053158,2.7828298096111004,0.007,0.28,0.0042,0.01,1.0,0.7028465799415857,0.28,0.15153925206223262,0.027828298096111006
36.15,0.7195043308762802,35.97521654381401,2.7979464641177034,0.007,0.28,0.0042,0.01,1.0,0.7045971094724318,0.28,0.15109590948401883,0.027979464641177034
36.3,0.7173879481917228,35.86939740958614,2.813106995547238,0.007,0.28,0.0042,0.01,1.0,0.7063311694527953,0.28,0.15065146912026178,0.02813106995547238
36.449999999999996,0.7152663874707167,35.763319373535836,2.828311503061679,0.007,0.28,0.0042,0.01,1.0,0.7080486530028801,0.28,0.15020594136885052,0.02828311503061679
36.6,0.7131396985460186,35.656984927300925,2.8435600842717874,0.007,0.28,0.0042,0.01,1.0,0.7097494534532757,0.28,0.14975933669466387,0.028435600842717873
36.75,0.7110079315693847,35.55039657846923,2.858852835237101,0.007,0.28,0.0042,0.01,1.0,0.7114334643651207,0.28,0.14931166562957077,0.02858852835237101
36.9,0.7088711370115707,35.44355685057853,2.874189850465943,0.007,0.28,0.0042,0.01,1.0,0.7131005795504182,0.28,0.14886293877242981,0.02874189850465943
37.05,0.7067293656623318,35.33646828311659,2.889571222915417,0.007,0.28,0.0042,0.01,1.0,0.7147506930924993,0.28,0.14841316678908967,0.02889571222915417
37.199999999999996,0.7045826686304231,35.229133431521156,2.904997043991409,0.007,0.28,0.0042,0.01,1.0,0.7163836993666352,0.28,0.14796236041238883,0.02904997043991409
37.35,0.7024310973435989,35.121554867179945,2.9204674035485882,0.007,0.28,0.0042,0.01,1.0,0.7179994930607961,0.28,0.14751053044215576,0.02920467403548588
37.5,0.7002747035486135,35.013735177430675,2.935982389890403,0.007,0.28,0.0042,0.01,1.0,0.7195979691965582,0.28,0.14705768774520883,0.02935982389890403
37.65,0.6981135393112203,34.905676965561014,2.951542089769086,0.007,0.28,0.0042,0.01,1.0,0.7211790231501563,0.28,0.14660384325535625,0.02951542089769086
37.8,0.6959476575835443,34.79738287917721,2.9671465578989493,0.007,0.28,0.0042,0.01,1.0,0.7227425438368975,0.28,0.14614900809254427,0.029671465578989493
37.949999999999996,0.693777112266335,34.68885561331675,2.98279581361134,0.007,0.28,0.0042,0.01,1.0,0.724288413116586,0.28,0.14569319357593033,0.0298279581361134
38.1,0.6916019551519536,34.58009775759768,2.9984900051176604,0.007,0.28,0.0042,0.01,1.0,0.7258165425150378,0.28,0.14523641058191022,0.029984900051176603
