Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
59.0,0.8267678638397598,2.6721190981645084,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0652864453124524,0.08267678638397598,0.2915629053619125,0.2672119098164509
60.0,0.8095120940714592,2.696394306678067,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06382948058627799,0.08095120940714592,0.29383655773490847,0.2696394306678067
61.0,0.7925235016739517,2.7205091119417055,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06239644722947376,0.07925235016739518,0.2960812281671766,0.2720509111941706
62.0,0.7757994477490942,2.7444509203429672,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06098732151500684,0.07757994477490943,0.2982963529559822,0.27444509203429673
63.0,0.759337489285141,2.768207828166205,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05960206331100442,0.07593374892851411,0.3004814255716579,0.2768207828166205
64.0,0.7431353726876321,2.791768608327682,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05824061796507138,0.0743135372687632,0.30263599345933706,0.2791768608327682
65.0,0.727191007730797,2.8151227012201683,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.056902916724694545,0.0727191007730797,0.3047596562432415,0.28151227012201685
66.0,0.7115024018472366,2.8382601984666658,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05558887447376339,0.07115024018472366,0.3068520658854268,0.2838260198466666
67.0,0.6960677071002519,2.861171818144587,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05429839490872885,0.06960677071002519,0.30891292036060264,0.2861171818144587
68.0,0.6808850986577335,2.8838489083585257,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05303136406384408,0.06808850986577335,0.3109419682654132,0.28838489083585256
69.0,0.6659528708716302,2.906283409628442,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05178765868166123,0.06659528708716303,0.3129389993528008,0.29062834096284423
70.0,0.6512693019593054,2.9284678585859396,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05056713856601837,0.06512693019593055,0.31490385023438344,0.29284678585859397
71.0,0.636832743797288,2.9503953616018896,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04936965421527826,0.0636832743797288,0.316836396074554,0.29503953616018896
72.0,0.6226415192513197,2.972059583591801,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04819504129619484,0.062264151925131975,0.31873655399550727,0.2972059583591801
73.0,0.6086939734305316,2.9934547314235194,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.047043125411242975,0.06086939734305316,0.32060427765829963,0.29934547314235194
74.0,0.5949884240251352,3.0145755389228643,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04591371997788708,0.05949884240251352,0.32243955774472827,0.30145755389228646
75.0,0.5815231692393593,3.035417247709017,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04480662793926141,0.05815231692393594,0.32424241908104057,0.30354172477090174
76.0,0.5682964821282103,3.055975591196255,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04372164245085476,0.05682964821282103,0.32601291879429545,0.30559755911962555
77.0,0.5553065846607368,3.0762467814787384,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.042658546087443606,0.05553065846607368,0.3277511458889955,0.30762467814787386
78.0,0.5425516728608817,3.096227488045,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0416171135218819,0.054255167286088174,0.3294572175670292,0.3096227488045
79.0,0.5300298757349993,3.1159148249864645,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04059710955708617,0.05300298757349993,0.331131279899532,0.3115914824986465
80.0,0.5177392957486526,3.135306328743481,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03959829272970622,0.05177392957486526,0.33277350338298267,0.3135306328743481
81.0,0.505677960820382,3.15439994688383,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03862041272504116,0.0505677960820382,0.3343840842816196,0.315439994688383
82.0,0.49384386491803806,3.173194018907399,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0376632138534971,0.04938438649180381,0.3359632404749751,0.3173194018907399
83.0,0.48223493150448815,3.1916872593360788,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03672643317771681,0.04822349315044882,0.3375112120312574,0.3191687259336079
84.0,0.47084904840790576,3.209878746829733,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03580980343784215,0.04708490484079058,0.339028257913082,0.3209878746829733
85.0,0.4596840344827372,3.2277679006489848,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03491305134627657,0.04596840344827372,0.34051465620773413,0.3227767900648985
86.0,0.44873764211069667,3.2453544652626425,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03403589822700775,0.04487376421106967,0.3419707026930807,0.32453544652626426
87.0,0.4380075856873584,3.262638502293125,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03317806236069746,0.043800758568735845,0.3433967082263425,0.3262638502293125
88.0,0.4274915547358709,3.279620378346789,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.032339260276953365,0.0427491554735871,0.3447929968924219,0.3279620378346789
89.0,0.4171871206855173,3.2963007230583576,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03151920084870502,0.04171871206855173,0.3461599093101483,0.3296300723058358
90.0,0.4070918099140599,3.312680433620253,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.030717590512600007,0.040709180991406,0.3474977980843492,0.3312680433620253
91.0,0.39720321520511104,3.3287607015901797,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.029934141041329503,0.03972032152051111,0.3488070218353616,0.332876070159018
92.0,0.38751875488058884,3.3445429090881365,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.029168553679534113,0.03875187548805889,0.35008795492675826,0.3344542909088137
93.0,0.37803583518760075,3.3600286725249386,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.028420530242974164,0.03780358351876008,0.3513409793154525,0.3360028672524939
94.0,0.36875185899801616,3.3752198373174425,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02768977389805396,0.03687518589980162,0.3525664835168863,0.33752198373174425
95.0,0.3596642056758114,3.3901184517182434,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02697598803199322,0.03596642056758114,0.3537648624709647,0.33901184517182437
96.0,0.3507701732083408,3.404726721019301,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.026278872554055296,0.035077017320834084,0.3549365189755208,0.3404726721019301
97.0,0.34206705027077255,3.4190470327736255,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02559812882440082,0.034206705027077254,0.35608186022591665,0.34190470327736255
98.0,0.3335521247291611,3.433081976748694,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.024933460213210964,0.03335521247291611,0.3572012979844385,0.3433081976748694
99.0,0.3252226344561703,3.446834240529786,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.024284569242638235,0.03252226344561703,0.35829524710338256,0.3446834240529786
100.0,0.3170758073073303,3.4603066606107133,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.023651160121400016,0.031707580730733036,0.35936412517182864,0.34603066606107136
