Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
561.0,7.542412409002964,0.0011230696512896043,9.586820877928606,0.1,100.0,0.06,0.1,1.0,0.001279946732613784,0.001427270755313253,0.4525447445401778,0.9586820877928606
562.0,7.104479272708731,0.0009870524009581623,9.092332508505644,0.1,100.0,0.06,0.1,1.0,0.0011376724137015693,0.0012630569511131843,0.4262687563625238,0.9092332508505644
563.0,6.691901668036861,0.0008710826410658502,8.620639079297275,0.1,100.0,0.06,0.1,1.0,0.001014893497541971,0.0011219997057436495,0.40151410008221167,0.8620639079297275
564.0,6.303223625426469,0.0007718429938031362,8.170976446599768,0.1,100.0,0.06,0.1,1.0,0.0009086058222692198,0.0010004307513277583,0.3781934175255881,0.8170976446599769
565.0,5.937070723460492,0.0006866138378915104,7.742572439550452,0.1,100.0,0.06,0.1,1.0,0.0008163089236963721,0.0008953140177149048,0.3562242434076295,0.7742572439550452
566.0,5.592145895479367,0.0006131580198195697,7.334652157437134,0.1,100.0,0.06,0.1,1.0,0.0007359158153907222,0.0008041291873830484,0.335528753728762,0.7334652157437134
567.0,5.2672253775855555,0.0005496292757734674,6.946442529141625,0.1,100.0,0.06,0.1,1.0,0.0006656800202357612,0.0007247781409648634,0.31603352265513335,0.6946442529141625
568.0,4.961154811295752,0.000494499137534597,6.5771762091497,0.1,100.0,0.06,0.1,1.0,0.000604136288729351,0.0006555094403787222,0.2976692886777451,0.65771762091497
569.0,4.6728455071271995,0.0004464980588328666,6.226094886828334,0.1,100.0,0.06,0.1,1.0,0.00055005192873899,0.0005948567472336719,0.28037073042763194,0.6226094886828335
570.0,4.401270871643207,0.00040456823112052247,5.892452071794147,0.1,100.0,0.06,0.1,1.0,0.0005023871792674112,0.0005415889799717443,0.2640762522985924,0.5892452071794148
571.0,4.145462998999357,0.00036782547014723837,5.575515414874197,0.1,100.0,0.06,0.1,1.0,0.00046026266591350334,0.0004946696248879611,0.24872777993996142,0.5575515414874198
572.0,3.9045094253456463,0.0003355284021244012,5.274568618220013,0.1,100.0,0.06,0.1,1.0,0.0004229326830341075,0.00045322352137651303,0.23427056552073877,0.5274568618220014
