Time,P_10,X_1000,T_Cancer_Cell_Total,T_ast,X_Complex,P_Perforin,C_Cancer_Uncomplexed,E_CTL,k,k_1,k_2,k_3,k_4,k_5,k_6,k_p,k_m,k_m_1,k_m_2,E_init,Perc_Lysis,ModelValue_11,compartment,X_Complex_Formation,X_Complex_Dissociation,X_Complex_Apoptosis,P_Production,P_Apoptosis_Perforin,C_Growth,C_Carrying_Capacity_Limit,T_Growth,T_Carrying_Capacity_Limit
6.24,0.0018333856520641979,0.48767082918536436,0.8414946845063868,1.218589829371317,0.00048767082918536436,0.0001833385652064198,0.8410070136772014,0.9995123291708147,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.945206974152867,1.0,1.0,8.405968790894909e-05,4.876708291853644e-08,4.876708291853644e-08,0.00045038767474987155,0.00046256705764834193,0.029435245478702052,0.0021218783911627335,0.0426506440279961,0.0044548835167416475
6.359999999999999,0.001818883336366045,0.4977654017089832,0.8447226676983085,1.223180941132878,0.0004977654017089832,0.00018188833363660449,0.8442249022965995,0.999502234598291,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.94049790246498,1.0,1.0,8.438046763489751e-05,4.977654017089832e-08,4.977654017089832e-08,0.0004486678394366205,0.00046066398207976115,0.029547871580380986,0.0021381470569731094,0.04281133293965073,0.004488514844252139
6.4799999999999995,0.0018045859694865336,0.5078982950297766,0.8479624575185258,1.2277873175279295,0.0005078982950297766,0.00018045859694865336,0.8474545592234961,0.9994921017049703,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.9357210802728,1.0,1.0,8.470241384977513e-05,5.0789829502977655e-08,5.0789829502977655e-08,0.0004469548465588624,0.0004587913822056347,0.029660909572822365,0.0021545376898460702,0.042972556113477535,0.004522385091247286
6.6,0.0017904689813427214,0.518069648386954,0.8512140854956488,1.2324089939804188,0.0005180696483869541,0.00017904689813427215,0.8506960158472618,0.999481930351613,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.93087687177546,1.0,1.0,8.502552960614477e-05,5.180696483869541e-08,5.180696483869541e-08,0.0004452486728043611,0.00045694344867790756,0.029774360554654166,0.0021710511341352145,0.04313431478931466,0.004556495785331484
6.72,0.0017765136597319019,0.5282796013874055,0.8544775837785382,1.237046005879216,0.0005282796013874055,0.0001776513659731902,0.8539493041771508,0.9994717203986125,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.925965589191794,1.0,1.0,8.534981801791351e-05,5.282796013874055e-08,5.282796013874055e-08,0.0004435492945781198,0.0004551157810767784,0.029888225646200278,0.00218768824231392,0.043296610205772565,0.004590848461985165
6.84,0.0017627058134580492,0.5385282940114168,0.8577529850037666,1.2416983885770174,0.0005385282940114168,0.00017627058134580493,0.8572144567097552,0.9994614717059885,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.920987504320678,1.0,1.0,8.567528224707814e-05,5.385282940114168e-08,5.385282940114168e-08,0.00044185668808292703,0.00045330507186677066,0.030002505984841433,0.002204449874376602,0.043459443600195616,0.004625444664584285
6.96,0.0017490347253092614,0.5488158666173325,0.861040322191743,1.2463661773892425,0.0005488158666173325,0.00017490347253092613,0.8604915063251256,0.9994511841333826,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.91594285755089,1.0,1.0,8.60019254933365e-05,5.4881586661733255e-08,5.4881586661733255e-08,0.00044017082938184156,0.00045150885761889554,0.0301172027213794,0.0022213368973730513,0.04362281620862349,0.004660285944419618
7.08,0.0017354923876241742,0.5591424599452118,0.864339628670792,1.2510494075929206,0.0005591424599452118,0.00017354923876241742,0.8637804862108467,0.9994408575400547,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.910831864440663,1.0,1.0,8.632975098649342e-05,5.5914245994521185e-08,5.5914245994521185e-08,0.00043849169444385225,0.00044972533751916967,0.030232317017379638,0.0022383501850759403,0.04378672926575222,0.004695373860715793
7.199999999999999,0.001722072506117334,0.5695082151212818,0.8676509379782983,1.2557481144255842,0.0005695082151212818,0.00017220725061173342,0.867081429763177,0.9994304917848787,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.905654723982035,1.0,1.0,8.66587619765748e-05,5.695082151212819e-08,5.695082151212819e-08,0.0004368192591991705,0.0004479531272280227,0.0303478500417112,0.002255490617520466,0.04395118400489545,0.00473070998065023
7.319999999999999,0.0017087704576884714,0.5799132736584498,0.8709742838560213,1.2604623330841263,0.0005799132736584498,0.00017087704576884715,0.8703943705823628,0.9994200867263415,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.900411619210967,1.0,1.0,8.698896173335445e-05,5.799132736584498e-08,5.799132736584498e-08,0.0004351534995450482,0.000446191256096848,0.0304638029703827,0.0022727590810244025,0.044116181657944425,0.0047662958793716365
