Time,Normal_cells,Tumor_cells,Immune_cells,r,beta_1,eta,gamma,alpha_1,alpha_2,beta_2,alpha_3,sigma,delta,mu,rho,m,mu_1,rho_1,m_1,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth,Tumor_cell_death_inhibition,Immune_cell_increase,Immune_cell_decrease
7.5,7.90513607137786e-06,1.837557492393513,0.9622944630218156,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,3.408694673897565e-06,1.4578663443748955e-05,0.2155238488149904,0.2597590687208944,1.2128197967476062,1.1911038553799043
7.8,5.1825457607224665e-06,1.8247057307143013,0.968641897391652,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,2.234713731988899e-06,9.500159021402895e-06,0.218162290641125,0.25964375527141864,1.2150432364349992,1.194434528255413
8.1,3.4086057841021997e-06,1.8126468858750808,0.9746647978705295,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.4697908140898889e-06,6.212884800190854e-06,0.220586524774347,0.2595316249518526,1.217141343985568,1.1975888141775788
8.4,2.248656984608541e-06,1.8013191859867521,0.9803785544014743,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,9.696208917566838e-07,4.076686697871618e-06,0.22281800445276492,0.2594216833673225,1.2191204857051963,1.2005727741208125
8.7,1.48765642042148e-06,1.7906671475709766,0.9857985005644808,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,6.414774484828889e-07,2.6833885255885996e-06,0.22487566382565496,0.25931331369666655,1.2209870890723589,1.203393459443899
9.0,9.868279003247662e-07,1.7806407717507302,0.9909396814573983,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,4.2552019061878363e-07,1.7714936418149418e-06,0.22677623183897583,0.25920616631494764,1.2227475014920728,1.2060584749834335
9.299999999999999,6.562529345479444e-07,1.7711948584731763,0.9958166977040326,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,2.8297626537651834e-07,1.1727331906314679e-06,0.22853451402479746,0.2591000774569071,1.224407895803385,1.208575668787692
9.6,4.3745042941261247e-07,1.7622884211825798,1.0004436049088112,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.8862862516247178e-07,7.783803125130308e-07,0.23016364055292066,0.2589950095855151,1.2259742093819723,1.2109529143700146
9.9,2.9225058557294393e-07,1.7538841863593422,1.0048338533100662,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.260184524989433e-07,5.179072926013896e-07,0.23167528211162164,0.25889100794961617,1.227452107298709,1.213197960518856
10.2,1.956573618001264e-07,1.7459481644983414,1.0090002563766953,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,8.436745440816516e-08,3.4539731700382575e-07,0.233079836597314,0.2587881691885294,1.2288469625982126,1.2153183303465835
10.5,1.312510454342527e-07,1.7384492811867656,1.0129549800457327,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,5.659545079122755e-08,2.3085459627370954e-07,0.23438659003836418,0.2586866188837601,1.2301638486522282,1.2173212561257563
10.799999999999999,8.821220210867802e-08,1.7313590586176988,1.016709546438659,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,3.803710154925193e-08,1.5461764865533932e-07,0.2356038551642076,0.2585864957034997,1.2314075398756774,1.2192136399032982
11.1,5.939130592781632e-08,1.7246513397248693,1.0202748476012085,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,2.5609531116069853e-08,1.0375875900417813e-07,0.23673909074109745,0.25848794043376233,1.2325825181717156,1.2210020327074083
11.4,4.0054159305191824e-08,1.7183020485272718,1.0236611659551285,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.7271353492396647e-08,6.975789938332473e-08,0.23779900442884344,0.25839108862555554,1.2336929831826875,1.2226926270407814
11.7,2.705589615957204e-08,1.7122889806481354,1.0268781989453961,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.166650242400652e-08,4.698073633155856e-08,0.23878964165106906,0.25829606578228265,1.2347428648326328,1.224291258377841
12.0,1.8303352859264105e-08,1.706591619999935,1.0299350862496748,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,7.89240575291425e-09,3.1693124578710874e-08,0.23971646248433306,0.2582029844798942,1.235735837278425,1.225803413126879
12.299999999999999,1.240004478340309e-08,1.7011909775618037,1.0328404382074383,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,5.346899310603215e-09,2.141386020159407e-08,0.24058440836256834,0.2581119428232287,1.2366753334816063,1.227234240734873
12.6,8.412776676491814e-09,1.6960694492291901,1.0356023645896402,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,3.627589302903179e-09,1.4491248860470267e-08,0.24139796007148048,0.25802302386989673,1.2375645599253833,1.228588568475229
12.9,5.715021336106711e-09,1.6912106894905579,1.0382285030932181,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,2.4643172001291717e-09,9.820494620005873e-09,0.24216118838097717,0.25793629564280307,1.2384065110734255,1.2298709175952007
13.2,3.886828816717457e-09,1.6865994999978582,1.0407260471100321,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.6760005857685482e-09,6.663637222338368e-09,0.24287779818806823,0.2578518117084385,1.239203983468268,1.2310855204943416
13.5,2.646607733069239e-09,1.682221730069449,1.0431017724540217,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.141217254499447e-09,4.527459360099808e-09,0.24355116723055714,0.25776961199269904,1.239959589187531,1.2322363379220338
13.799999999999999,1.804086973017497e-09,1.6780641874547773,1.0453620629012668,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,7.779223027651406e-10,3.079764832477666e-09,0.24418438014271063,0.25768972371566634,1.240675768575793,1.233327075809532
14.1,1.2310169430608865e-09,1.674114558717541,1.0475129344615641,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,5.308145058478523e-10,2.097311058996558e-09,0.24478025839584702,0.25761216247657187,1.241354802293373,1.2343612017648855
14.399999999999999,8.41069299914419e-10,1.6703613379196196,1.049560058246718,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,3.626690821230966e-10,1.4302458150254407e-09,0.2453413866923267,0.2575369333843253,1.2419988226014171,1.2353419608881084
14.7,5.757308803655316e-10,1.6667937619887658,1.051508782049632,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,2.4825515561361675e-10,9.772771296660372e-10,0.24587013637359595,0.25746403212585983,1.2426098238808356,1.2362723907025213
15.0,3.947031308235052e-10,1.6634017517406072,1.0533641507802054,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.7019599001109525e-10,6.688447065943745e-10,0.24636868626373418,0.25739344594603414,1.2431896724464948,1.2371553352193503
