Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
47.7,10972.572323802102,55.866899932410746,2044.667107119219,13107.206928581652,3251.138309575572,73062.12626406937,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,10.223335535596096,15.144479975821323,0.0025492066439159024,0.09329816009784997,128.8140277485108,55.20601189221892,24.191054323598156,6.000398398301963,655.3603464290827,232.13127530369584,3.3338248214294857,1473.277608336944,1891.6714686234823
48.6,10599.314176124675,51.60897988096812,1889.5874893614427,12618.544202304305,3089.946841316673,73841.58895760198,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,9.447937446807215,13.989569526240345,0.0023549177519685753,0.08622187713956264,119.0440118297709,51.01886221275896,23.289163736098896,5.7028985887392905,630.9272101152153,220.62220447001044,3.3693917041353787,1416.3517622962643,1827.321763963894
49.5,10232.98973483153,47.679007512757586,1746.265312860592,12143.900558559983,2935.533242683112,74589.20640529813,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,8.731326564302961,12.923630278818129,0.0021755931128071286,0.07968208622582881,110.0147147102173,47.14916344723599,22.41314718789506,5.417908218693232,607.1950279279991,209.5970735275742,3.403505488273754,1361.166717990154,1764.1674302849558
50.4,9874.04992266822,44.05100012972171,1613.8103052177362,11683.26297356998,2787.7308588951923,75306.04094362976,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,8.069051526088682,11.939612844395803,0.0020100471359192017,0.0736381642270853,101.67004922871737,43.57287824087888,21.56298064190996,5.145119705102734,584.1631486784989,199.04398332511676,3.436214648257826,1307.7128403017575,1702.2862066680011
51.300000000000004,9522.870621085238,40.70118455967367,1491.3993150162883,11236.57168453774,2646.363583027419,75993.14211103106,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,7.456996575081441,11.031067277711326,0.0018571950514579096,0.06805255074419324,93.95815684602616,40.267781505439785,20.73855379813339,4.884208019742895,561.828584226887,188.95035982815773,3.4675670745263476,1255.9753476051449,1641.742895075095
52.2,9179.759394976112,37.607783181932604,1378.2713605932158,10803.725801759854,2511.2479303473237,76651.54420893142,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,6.891356802966079,10.192085030343641,0.0017160431465915848,0.06289052218386844,86.83109571737259,37.21332673601683,19.93968045150204,4.634834517686931,540.1862900879927,179.30310222679893,3.4976099622535406,1205.9349766933515,1582.5905196938818
53.1,8844.962008785002,34.750805227048055,1273.7228264306946,10384.588722212957,2382.1950243308115,77282.2639925182,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,6.368614132153473,9.417242340025814,0.0015856792425102029,0.058119972570032596,80.24453806513375,34.39051631362876,19.1661084833779,4.396650602755676,519.2294361106478,170.08872473721996,3.526389705978606,1157.5686234378363,1524.8714503145343
54.0,8518.66809706916,32.11190875992796,1177.1034031809534,9978.992431440336,2259.0120486669134,77886.29916694669,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,5.8855170159047665,8.701562780617067,0.0014652663967155127,0.0537112282871469,74.15751440040006,31.781791885885745,18.417527801239228,4.169300407381115,498.94962157201684,161.29346027481762,3.5539518309877773,1110.8498455773793,1468.6183799347232
54.9,8201.016634734793,29.67424406532823,1087.8120930699984,9586.741774658654,2141.5037073870208,78464.62686003753,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,5.439060465349992,8.040474776180135,0.0013540357567009274,0.049636865806784024,68.5321618634099,29.37092651288996,17.693578221563254,3.9524234874647073,479.3370887329327,152.9033647074333,3.580340923623513,1065.7493628352165,1413.8552678282783
55.800000000000004,7892.101191748729,27.422305707501707,1005.293368323602,9207.618521066832,2029.4735952550573,79018.20222554785,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,5.02646684161801,7.429771471492395,0.0012512798094333028,0.04587153639660596,63.333482204386925,27.142920944737256,16.99385697103658,3.7456573516105913,460.3809260533416,144.9044147012111,3.6056005675517486,1022.2355318694362,1360.598245457481
56.7,7591.974610801715,25.341818597645716,929.0337852109064,8841.384779341253,1922.7252698633556,79547.95748956602,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,4.645168926054533,6.86557982206474,0.001156347182610574,0.042391811619173665,58.529128468287105,25.083912200694478,16.317924990295598,3.548639439817905,442.0692389670627,137.2825842682436,3.6297733002488974,980.2747414272932,1308.8564229022156
57.6,7300.653569285443,23.419623055038482,858.5586636854059,8487.786338073765,1821.063296562156,80054.80103331033,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,4.292793318427029,6.344329416012789,0.001068637400001406,0.03917603182396508,54.08919581218057,23.181083919505962,15.665313099139084,3.361009052034012,424.38931690368827,130.02391937453794,3.6529005711499507,939.8317986354843,1258.6326753448104
58.5,7018.122357640038,21.64359434633417,793.4293423043184,8146.555218281012,1724.2939450606266,80539.61698581325,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,3.9671467115215924,5.862730639840224,0.0009875972100232282,0.03620418088934605,49.98604856517206,21.4225922422166,15.035526707515983,3.182408633822244,407.3277609140506,123.11458767732874,3.675022723062659,900.8702190811325,1209.9242944571424
59.4,6744.336656819973,20.002555313978245,733.2404099485631,7817.412279586321,1632.2259198045886,81003.26476100774,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,3.6662020497428154,5.417750974938087,0.0009127165989768274,0.033457759905952934,46.194145826759474,19.797491068611205,14.428050625572903,3.012485124368943,390.8706139793161,116.54093067404763,3.6961789710447834,863.3525239488616,1162.7236396357632
60.300000000000004,6479.226923401282,18.486197641844477,677.6171953962162,7500.069498982142,1544.6709572951327,81446.57878260007,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,3.388085976981081,5.006593636963343,0.0008435251983973636,0.030919672625929345,42.68988330996162,18.29566427569784,13.842353269406411,2.8508910589126155,375.00347494910716,110.28950635087249,3.7164073898500414,827.240497762971,1117.018721594381
61.2,6222.701560045441,17.085010442323018,626.2134045031914,7194.232058852903,1461.4443452533808,81870.36831926912,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,3.1310670225159574,4.626678201490434,0.0007795890264831993,0.028574117647480628,39.45144448370106,16.90776192158617,13.277890514780683,2.6972855269299973,359.7116029426452,104.3471262510914,3.73574490640825,792.4954231479594,1072.793748951834
