Time,N,S,T,a,d,u1,u2,r1,e1,r2,e2,Q1,Q2,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death
40.0,0.14400543007346256,0.11158231350913657,0.2883073760622191,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0022316462701827315,0.0032136918090950287,0.016085002011385536,0.0025709534472760235,0.0043201629022038765,0.012868001609108427,0.008072606529742135
40.800000000000004,0.14260178591630907,0.11037946576277297,0.29211266300140687,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0022075893152554596,0.003148061789251903,0.016121619842318115,0.002518449431401523,0.004278053577489272,0.01289729587385449,0.008179154564039393
41.6,0.14119047189577988,0.10921872013448145,0.2958563001181391,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002184374402689629,0.00308412852712811,0.016156523221313092,0.0024673028217024884,0.004235714156873396,0.012925218577050476,0.008283976403307896
42.400000000000006,0.13977272702750537,0.10809938644909929,0.29953861150504935,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002161987728981986,0.0030218692067981536,0.016189970060755475,0.002417495365438523,0.004193181810825161,0.01295197604860438,0.008387081122141381
43.2,0.1383497583494524,0.10702050577461977,0.30316014143144543,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0021404101154923953,0.0029612522224709645,0.016222175833349277,0.0023690017779767715,0.0041504927504835715,0.012977740666679423,0.008488483960080472
44.0,0.13692271182073235,0.10598107090327108,0.3067215041444493,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0021196214180654216,0.002902243125948238,0.01625333673914542,0.0023217945007585907,0.00410768135462197,0.013002669391316337,0.008588202116044582
44.800000000000004,0.13549269107217876,0.10497994383038971,0.31022343313401685,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002099598876607794,0.0028448030196371347,0.016283619292639873,0.0022758424157097077,0.004064780732165363,0.0130268954341119,0.008686256127752472
45.6,0.13406074644850624,0.10401593139886438,0.3136667306788772,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0020803186279772876,0.0027888906811736752,0.016313168570200078,0.0022311125449389407,0.004021822393455187,0.013050534856160064,0.00878266845900856
46.400000000000006,0.13262787543883414,0.10308780607547127,0.3170522523921145,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0020617561215094254,0.002734463340688059,0.016342110555194835,0.0021875706725504474,0.003978836263165024,0.013073688444155868,0.008877463066979206
47.2,0.13119502587756937,0.10219425137853164,0.32038094643059595,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002043885027570633,0.0026814754908290575,0.0163705454882101,0.0021451803926632465,0.003935850776327081,0.01309643639056808,0.008970666500056687
