Time,FITC_Dextran_single_compartment_model,Pyranine_single_compartment_model,Total_FITC_Dextran,Total_Pyranine,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,Pyranine_three_compartment_model_compartment_1,Pyranine_three_compartment_model_compartment_2,Pyranine_three_compartment_model_compartment_3,FITC_Dextran_max_uptake_rate,lambda_single_compartment_model_FITC_Dextran,Pyranine_max_uptake_rate,lambda_single_compartment_model_Pyranine,Pyranine_addition_trigger,FITC_Dextran_influx_rate,lambda_compartment_1,lambda_compartment_2,lambda_compartment_3,Pyranine_influx_rate,Dictyostelium_discoideum_AX2,FITC_Dextran_influx_rate_0,FITC_Dextran_transfer_between_endo_lysosomal_compartments_1_and_2,FITC_Dextran_transfer_between_endo_lysosomal_compartments_2_and_3,FITC_Dextran_efflux_rate,Pyranine_influx_rate_0,Pyranine_transfer_between_endo_lysosomal_compartments_1_and_2,Pyranine_transfer_between_endo_lysosomal_compartments_2_and_3,Pyranine_efflux_rate
175.0,549.4261133642475,330.95416933363595,542.0439049722579,344.98304593656167,180.80193458568112,178.99452608171106,182.24744430486567,137.07409905006014,117.67276773953594,90.23617914696557,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.689671579670201,6.622797465023309,6.378660550670299,5.3,5.071741664852225,4.35389240636283,3.158266270143795
176.0,549.9907662812063,333.41231642034114,542.36100724777,347.1039487337112,180.81207413629235,179.0603644313157,182.48856868016202,137.29818335993187,118.38162552171731,91.42413985206203,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.690046743042816,6.62523348395868,6.387099903805671,5.3,5.080032784317479,4.3801201443035405,3.199844894822171
177.0,550.5464566431345,335.8460045348647,542.6697743719919,349.18354576343415,180.82184528681213,179.1241726696126,182.72375641556727,137.5141260190128,119.0727284231431,92.5966913212783,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.690408275612048,6.627594388775665,6.395331474544855,5.3,5.088022662703473,4.405690951656295,3.240884196244741
178.0,551.0933267097994,338.255477048046,542.970411863925,351.22237487420455,180.83126152860515,179.1860115475686,182.95313878775133,137.72222518678433,119.74642620972597,93.75372347769431,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.69075667655839,6.629882427260037,6.403359857571297,5.3,5.09572233191102,4.430617769759861,3.281380321719301
179.0,551.6315164829248,340.6409749091443,543.2631206764662,353.2209797242008,180.84033578112192,179.24593999312063,183.17684490222365,137.92276638340962,120.40307044564197,94.89514289514918,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.691092423901511,6.632099779745463,6.411189571577828,5.3,5.103142356186156,4.454913606488753,3.3213300013302214
180.0,552.1611637420317,343.0027366699337,543.5480972982278,355.17990665390374,180.84908049917976,179.30401526644846,183.3950015325996,138.11602486064842,121.04301003003101,96.02087176322429,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.691415978469651,6.634248564858592,6.418825053640987,5.3,5.1102929198439915,4.478591371111147,3.3607305117128505
181.0,552.6824040797113,345.3409985085584,543.8255336662017,357.0997101953583,180.8575075396976,179.3602927529389,183.60773337356525,138.30226265669074,121.66659642851465,97.13085111015288,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.6917277789688105,6.636330831858739,6.4262706680747845,5.3,5.117183718297557,4.5016640678550415,3.399579788855351
182.0,553.1953709363368,347.6559942531509,544.09561753144,358.9809418142762,180.8656284525761,179.4148264537649,183.815162625099,138.48173502461736,122.27417310907671,98.22503368058213,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.692028252745315,6.6383485787893015,6.433530691878465,5.3,5.123824195910842,4.524144405035838,3.4378761788203747
183.0,553.7001956342247,349.9479554052146,544.3585324336877,360.82415335153786,180.87345439669102,179.46766886447054,184.01740917252616,138.6546885758471,122.86607904086588,99.30338573482487,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.692317812677567,6.64030374798541,6.4406093210384165,5.3,5.130223477306343,4.546044924512038,3.4756185007188707
184.0,554.1970074112547,352.2171111627748,544.6144577426212,362.629897961031,180.88099611973857,179.51887095779333,184.21459066508933,138.8213608347218,123.44264979774312,100.36588732856613,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.692596856430327,6.642198225438353,6.447510673278127,5.3,5.136390350884706,4.567378042516495,3.512806056499815
